row  column  (images_9.edf Cu_K*images_9.edf Ar_K**2.3)
10  28  1.25336e+07
10  29  1.77209e+07
10  30  0
10  31  0
10  32  0
10  33  0
10  34  0
10  35  0
10  36  3.02956e+06
10  37  0
10  38  0
10  39  0
10  40  0
10  41  2.48405e+07
10  42  3.21505e+07
10  43  0
10  44  6.5599e+06
10  45  5.81285e+07
10  46  0
10  47  0
10  48  1.63825e+07
10  49  2.34584e+07
10  50  2.07266e+07
11  0  3.93221e+07
11  1  3.53136e+07
11  2  0
11  3  5.15289e+06
11  4  0
11  5  0
11  6  0
11  7  0
11  8  5.84011e+07
11  9  0
11  10  1.84485e+07
11  11  2.92328e+07
11  12  2.14403e+07
11  13  0
11  14  0
11  15  0
11  16  0
11  17  3.74074e+06
11  18  0
11  19  0
11  20  2.70745e+06
11  21  0
11  22  6.46967e+06
11  23  5.78834e+07
11  24  3.74959e+07
11  25  2.61897e+07
11  26  0
11  27  0
11  28  6.93447e+06
11  29  0
11  30  1.99866e+07
11  31  0
11  32  0
11  33  0
11  34  2.74099e+07
11  35  0
11  36  0
11  37  2.21847e+07
11  38  1.98304e+07
11  39  0
11  40  0
11  41  0
11  42  0
11  43  0
11  44  3.00109e+07
11  45  0
11  46  1.0966e+08
11  47  0
11  48  1.45765e+07
11  49  0
11  50  3.61605e+07
12  0  8.31023e+07
12  1  2.72126e+07
12  2  2.90484e+07
12  3  0
12  4  0
12  5  0
12  6  2.76207e+07
12  7  1.03683e+07
12  8  0
12  9  5.83063e+07
12  10  2.17934e+07
12  11  251331
12  12  1.7687e+07
12  13  0
12  14  0
12  15  0
12  16  0
12  17  0
12  18  0
12  19  1.69232e+06
12  20  0
12  21  0
12  22  2.38581e+07
12  23  2.01317e+07
12  24  0
12  25  0
12  26  0
12  27  1.4593e+07
12  28  3.62708e+07
12  29  0
12  30  0
12  31  0
12  32  4.49463e+07
12  33  7.64084e+06
12  34  0
12  35  1.71259e+07
12  36  0
12  37  2.05169e+06
12  38  0
12  39  3.45774e+06
12  40  0
