row  column  (images_1_region2.edf S-K*images_1_region2.edf Ar-K**2.3)
12  28  8.47329e+06
12  29  2.79121e+06
12  30  4.00523e+06
12  31  8.22933e+06
12  32  8.21736e+06
12  33  3.30555e+06
12  34  6.06207e+06
12  35  8.41796e+06
12  36  3.67173e+06
12  37  4.81516e+06
12  38  3.22465e+06
12  39  1.96152e+07
12  40  1.04155e+07
12  41  1.10684e+07
12  42  9.67389e+06
12  43  2.92678e+07
12  44  1.70117e+07
12  45  1.93544e+07
12  46  1.24412e+07
12  47  1.07608e+07
12  48  1.4921e+07
12  49  1.40193e+07
12  50  3.58362e+06
12  51  1.43979e+07
12  52  5.73403e+06
12  53  9.72301e+06
12  54  3.6511e+06
12  55  9.05098e+06
12  56  7.53544e+06
12  57  1.29425e+07
12  58  1.04266e+07
12  59  7.574e+06
12  60  1.47286e+06
12  61  2.60387e+06
12  62  4.06944e+06
12  63  1.51617e+06
12  64  4.81462e+06
12  65  406251
12  66  2.14533e+06
12  67  60619.9
13  0  1.24327e+06
13  1  0
13  2  1.29484e+06
13  3  978261
13  4  2.04181e+06
13  5  0
13  6  3.07687e+06
13  7  1.07786e+06
13  8  1.18561e+06
13  9  0
13  10  3.28451e+06
13  11  4.96659e+06
13  12  4.78815e+06
13  13  5.67203e+06
13  14  5.6843e+06
13  15  3.58393e+06
13  16  3.66747e+06
13  17  6.4902e+06
13  18  4.97339e+06
13  19  1.23615e+07
13  20  1.02934e+07
13  21  5.37424e+06
13  22  3.16184e+06
13  23  3.46081e+06
13  24  5.96997e+06
13  25  8.072e+06
13  26  7.63491e+06
13  27  1.37216e+07
13  28  4.84935e+06
13  29  4.33911e+06
13  30  2.61441e+06
13  31  4.07377e+06
13  32  8.94363e+06
13  33  1.24665e+07
13  34  6.8916e+06
13  35  8.50378e+06
13  36  8.62819e+06
13  37  4.68991e+06
13  38  8.72283e+06
13  39  8.56135e+06
13  40  1.32405e+07
13  41  7.64137e+06
13  42  1.38995e+07
13  43  7.68153e+06
13  44  1.20475e+07
13  45  1.33017e+07
13  46  9.09631e+06
13  47  1.77353e+07
13  48  1.79334e+07
13  49  1.87612e+07
13  50  9.69206e+06
13  51  1.48462e+07
13  52  5.14799e+06
13  53  6.62764e+06
13  54  4.51061e+06
13  55  1.01448e+07
13  56  1.02484e+07
13  57  1.28339e+07
13  58  1.4742e+07
13  59  4.35348e+06
13  60  0
13  61  20517.1
13  62  0
13  63  7.35549e+06
13  64  5.97146e+06
13  65  0
13  66  0
13  67  0
14  0  4.21574e+06
14  1  395713
14  2  125746
14  3  2.2438e+06
14  4  0
14  5  0
14  6  4.21885e+06
14  7  821424
14  8  1.09685e+06
14  9  4.15796e+06
14  10  5.89396e+06
14  11  2.04467e+06
14  12  8.40481e+06
14  13  4.49806e+06
14  14  9.15022e+06
14  15  3.35029e+06
14  16  4.84352e+06
14  17  1.80948e+07
14  18  1.08471e+07
14  19  7.22672e+06
14  20  7.8824e+06
14  21  6.58165e+06
14  22  3.33369e+06
14  23  8.17674e+06
14  24  0
14  25  8.52416e+06
14  26  2.26145e+06
14  27  5.22235e+06
14  28  0
14  29  3.95457e+06
14  30  7.36923e+06
14  31  5.13569e+06
14  32  9.66293e+06
14  33  6.84634e+06
14  34  1.17566e+07
14  35  1.04675e+07
14  36  1.3037e+07
14  37  9.62865e+06
14  38  1.34863e+07
14  39  1.98424e+07
14  40  1.67833e+07
14  41  4.85383e+06
14  42  1.66258e+07
14  43  1.70612e+07
14  44  1.37206e+07
14  45  1.41682e+07
14  46  1.54618e+07
14  47  1.2299e+07
14  48  1.1249e+07
14  49  1.95312e+07
14  50  8.0097e+06
14  51  1.58996e+07
14  52  1.09628e+07
14  53  8.38349e+06
14  54  6.81488e+06
14  55  8.35221e+06
14  56  9.06346e+06
14  57  3.63102e+06
14  58  7.85497e+06
14  59  4.85844e+06
14  60  7.2504e+06
14  61  5.13541e+06
14  62  602365
14  63  2.88206e+06
14  64  0
14  65  2.88066e+06
14  66  4.0036e+06
14  67  0
15  0  1.69841e+06
15  1  0
15  2  3.76834e+06
15  3  33269.4
15  4  0
15  5  2.8175e+06
15  6  3.48893e+06
15  7  0
15  8  3.4688e+06
15  9  4.70817e+06
15  10  5.77612e+06
15  11  4.82099e+06
15  12  7.1938e+06
15  13  6.73639e+06
15  14  3.90112e+06
15  15  5.67788e+06
15  16  1.62176e+07
15  17  3.38703e+06
15  18  1.04848e+07
15  19  1.32278e+07
15  20  1.32758e+07
15  21  7.21343e+06
15  22  8.29216e+06
15  23  5.85839e+06
15  24  9.93369e+06
15  25  8.98699e+06
15  26  7.22935e+06
15  27  5.30764e+06
15  28  1.65372e+07
15  29  9.64559e+06
15  30  7.59017e+06
15  31  9.64383e+06
15  32  6.99702e+06
15  33  3.97636e+06
15  34  9.7491e+06
15  35  9.3216e+06
15  36  1.08023e+07
15  37  6.6784e+06
15  38  1.04268e+07
15  39  8.39471e+06
15  40  6.68237e+06
15  41  1.49565e+07
15  42  8.14822e+06
15  43  9.97848e+06
15  44  1.70777e+07
15  45  1.20031e+07
15  46  2.03577e+07
15  47  1.66421e+07
15  48  1.41336e+07
15  49  1.66907e+07
15  50  1.2549e+07
15  51  6.22407e+06
15  52  1.1422e+07
15  53  5.06992e+06
15  54  1.5224e+07
15  55  5.29171e+06
15  56  1.16149e+07
15  57  8.77999e+06
15  58  4.74455e+06
15  59  1.00709e+07
15  60  9.55039e+06
15  61  778450
15  62  0
15  63  0
15  64  849630
15  65  0
15  66  975677
15  67  1.84797e+06
16  0  1.69997e+06
16  1  614533
16  2  2.53755e+06
16  3  1.12863e+06
16  4  3.81865e+06
16  5  1.72403e+06
16  6  2.98239e+06
16  7  9.408e+06
16  8  1.03052e+06
16  9  6.0694e+06
16  10  4.932e+06
16  11  4.62413e+06
16  12  7.82042e+06
16  13  4.1744e+06
16  14  3.62951e+06
16  15  7.88096e+06
16  16  4.60086e+06
16  17  8.78008e+06
16  18  9.4663e+06
16  19  1.33072e+07
16  20  5.61594e+06
16  21  5.84781e+06
16  22  9.58242e+06
16  23  8.14299e+06
16  24  4.24979e+06
16  25  7.25255e+06
16  26  1.58858e+07
16  27  9.34222e+06
16  28  1.08869e+07
16  29  4.88671e+06
16  30  9.02534e+06
16  31  4.53238e+06
16  32  1.17818e+07
16  33  6.82337e+06
16  34  5.91875e+06
16  35  1.10565e+07
16  36  7.65364e+06
16  37  9.81782e+06
16  38  1.29296e+07
16  39  1.45856e+07
16  40  1.18515e+07
16  41  7.73279e+06
16  42  1.71541e+07
16  43  1.42973e+07
16  44  1.43842e+07
16  45  1.24646e+07
16  46  2.12199e+07
16  47  1.26105e+07
16  48  1.82223e+07
16  49  7.95936e+06
16  50  7.49245e+06
16  51  1.54212e+07
16  52  1.41219e+07
16  53  9.69223e+06
16  54  1.21376e+07
16  55  1.06418e+07
16  56  1.07124e+07
16  57  6.44525e+06
16  58  7.41479e+06
16  59  4.02473e+06
16  60  598234
16  61  3.80303e+06
16  62  1.49605e+06
16  63  7.57578e+06
16  64  0
16  65  1.08558e+06
16  66  0
16  67  0
17  0  0
17  1  3.70182e+06
17  2  0
17  3  1.18288e+06
17  4  854319
17  5  0
17  6  0
17  7  5.50413e+06
17  8  4.20776e+06
17  9  5.18199e+06
17  10  3.86049e+06
17  11  5.90764e+06
17  12  6.12748e+06
17  13  5.84406e+06
17  14  1.18414e+07
17  15  5.78833e+06
17  16  3.30862e+06
17  17  1.38709e+06
17  18  1.8813e+07
17  19  1.00119e+07
17  20  1.92631e+07
17  21  1.26085e+07
17  22  7.15377e+06
17  23  5.37617e+06
17  24  1.97034e+07
17  25  6.0841e+06
17  26  3.86965e+06
17  27  1.11124e+07
17  28  1.34658e+07
17  29  8.18183e+06
17  30  6.76434e+06
17  31  4.62038e+06
17  32  1.11535e+07
17  33  1.34684e+07
17  34  7.68491e+06
17  35  5.42469e+06
17  36  1.30371e+07
17  37  1.21301e+07
17  38  1.91797e+07
17  39  1.30982e+07
17  40  1.72067e+07
17  41  1.54271e+07
17  42  1.31966e+07
17  43  1.21921e+07
17  44  1.40465e+07
17  45  9.13931e+06
17  46  1.51875e+07
17  47  7.92624e+06
17  48  1.17638e+07
17  49  1.42873e+07
17  50  8.38872e+06
17  51  1.50396e+07
17  52  1.19529e+07
17  53  1.33997e+07
17  54  1.18796e+07
17  55  7.64394e+06
17  56  1.04485e+07
17  57  5.53145e+06
17  58  6.97976e+06
17  59  2.30876e+06
17  60  7.06509e+06
17  61  2.59083e+06
17  62  1.12119e+06
17  63  1.88467e+06
17  64  2.48121e+06
17  65  0
17  66  1.61836e+06
17  67  1.5994e+06
18  0  348256
18  1  3.19164e+06
18  2  887073
18  3  0
18  4  4.58994e+06
18  5  0
18  6  2.2703e+06
18  7  8.49543e+06
18  8  8.56496e+06
18  9  4.07095e+06
18  10  2.18672e+06
18  11  9.29661e+06
18  12  1.07828e+07
18  13  5.71117e+06
18  14  5.96432e+06
18  15  7.50825e+06
18  16  6.80484e+06
18  17  1.15687e+07
18  18  1.51344e+07
18  19  1.29901e+07
18  20  1.10575e+07
18  21  9.27287e+06
18  22  6.04067e+06
18  23  1.31454e+07
18  24  1.16525e+07
18  25  9.9264e+06
18  26  1.08778e+07
18  27  7.96951e+06
18  28  5.15442e+06
18  29  4.91816e+06
18  30  1.18876e+07
18  31  8.16656e+06
18  32  5.49028e+06
18  33  1.32553e+07
18  34  9.57678e+06
18  35  1.89093e+07
18  36  9.26226e+06
18  37  1.06296e+07
18  38  1.31881e+07
18  39  1.40836e+07
18  40  8.11037e+06
18  41  1.30713e+07
18  42  1.58595e+07
