row  column  (images_1_region2.edf Ca-K*images_1_region2.edf Ar-K**2.3)
1  43  6.60776e+08
1  44  6.69967e+08
1  45  6.06375e+08
1  46  6.33818e+08
1  47  5.86156e+08
1  48  5.88863e+08
1  49  5.83793e+08
1  50  6.27797e+08
1  51  6.37654e+08
1  52  6.32133e+08
1  53  6.22176e+08
1  54  5.95129e+08
1  55  6.43823e+08
1  56  5.39118e+08
1  57  5.9191e+08
1  58  5.97281e+08
1  59  5.36927e+08
1  60  5.17405e+08
1  61  4.17426e+08
1  62  3.03615e+08
1  63  2.583e+08
1  64  1.9287e+08
1  65  1.891e+08
1  66  1.62832e+08
1  67  1.54941e+08
2  0  8.2424e+07
2  1  9.86292e+07
2  2  8.89021e+07
2  3  8.5966e+07
2  4  9.6773e+07
2  5  1.1814e+08
2  6  1.2392e+08
2  7  1.36508e+08
2  8  1.69644e+08
2  9  1.64174e+08
2  10  1.72882e+08
2  11  1.79216e+08
2  12  2.00964e+08
2  13  2.11602e+08
2  14  2.09236e+08
2  15  2.35497e+08
2  16  2.5799e+08
2  17  2.74442e+08
2  18  3.37788e+08
2  19  3.52523e+08
2  20  3.34933e+08
2  21  3.44954e+08
2  22  3.24432e+08
2  23  3.18437e+08
2  24  3.10935e+08
2  25  3.66473e+08
2  26  3.41837e+08
2  27  3.92553e+08
2  28  3.65848e+08
2  29  3.85671e+08
2  30  4.05641e+08
2  31  3.82204e+08
2  32  4.82502e+08
2  33  4.43733e+08
2  34  4.57932e+08
2  35  4.48166e+08
2  36  5.33111e+08
2  37  5.68393e+08
2  38  5.9489e+08
2  39  6.33056e+08
2  40  6.27625e+08
2  41  6.95488e+08
2  42  7.10874e+08
2  43  6.97691e+08
2  44  7.33931e+08
2  45  6.35917e+08
2  46  6.52147e+08
2  47  6.4786e+08
2  48  6.36055e+08
2  49  6.8278e+08
2  50  6.41327e+08
2  51  6.00316e+08
2  52  6.79564e+08
2  53  6.73669e+08
2  54  6.40924e+08
2  55  6.25429e+08
2  56  6.42696e+08
2  57  6.23665e+08
2  58  5.90662e+08
2  59  5.30926e+08
2  60  4.52477e+08
2  61  3.66493e+08
2  62  2.89653e+08
2  63  2.51413e+08
2  64  2.13288e+08
2  65  1.97143e+08
2  66  1.51229e+08
2  67  1.51732e+08
3  0  8.64722e+07
3  1  9.12291e+07
3  2  8.6512e+07
3  3  1.00844e+08
3  4  1.07472e+08
3  5  1.20766e+08
3  6  1.27752e+08
3  7  1.68393e+08
3  8  1.60723e+08
3  9  1.94281e+08
3  10  1.69063e+08
3  11  1.96317e+08
3  12  2.19079e+08
3  13  2.16106e+08
3  14  2.52285e+08
3  15  2.67258e+08
3  16  2.95364e+08
3  17  3.21992e+08
3  18  3.52417e+08
3  19  3.39883e+08
3  20  3.30315e+08
3  21  3.25833e+08
3  22  3.67607e+08
3  23  3.55075e+08
3  24  4.17885e+08
3  25  3.63026e+08
3  26  3.66238e+08
3  27  4.01268e+08
3  28  4.17222e+08
3  29  4.23061e+08
3  30  4.47126e+08
3  31  4.53648e+08
3  32  4.53484e+08
3  33  4.96021e+08
3  34  4.70166e+08
3  35  5.59326e+08
3  36  5.4012e+08
3  37  5.92569e+08
3  38  6.40233e+08
3  39  6.24826e+08
3  40  6.36715e+08
3  41  6.92622e+08
3  42  7.43494e+08
3  43  7.66488e+08
3  44  6.92152e+08
3  45  6.7341e+08
3  46  6.93688e+08
3  47  5.92281e+08
3  48  7.17612e+08
3  49  6.97516e+08
3  50  7.03171e+08
3  51  7.27135e+08
3  52  7.00112e+08
3  53  6.87807e+08
3  54  7.3936e+08
3  55  6.73493e+08
3  56  7.38679e+08
3  57  6.66472e+08
3  58  6.61762e+08
3  59  5.85166e+08
3  60  4.77223e+08
3  61  3.91188e+08
3  62  3.31297e+08
3  63  2.55329e+08
3  64  2.23672e+08
3  65  2.086e+08
3  66  1.6829e+08
3  67  1.55949e+08
4  0  9.73591e+07
4  1  9.68106e+07
4  2  1.11826e+08
4  3  9.84936e+07
4  4  1.24714e+08
4  5  1.31201e+08
4  6  1.52086e+08
4  7  1.46968e+08
4  8  1.70723e+08
4  9  1.82617e+08
4  10  2.32596e+08
4  11  2.10562e+08
4  12  2.33881e+08
4  13  2.46534e+08
4  14  2.456e+08
4  15  2.71595e+08
4  16  3.18085e+08
4  17  3.19243e+08
4  18  3.67025e+08
4  19  4.11047e+08
4  20  4.02396e+08
4  21  3.535e+08
4  22  3.53314e+08
4  23  3.76111e+08
4  24  4.11438e+08
4  25  4.11079e+08
4  26  4.18882e+08
4  27  4.66764e+08
4  28  4.54126e+08
4  29  5.05005e+08
4  30  5.04943e+08
4  31  4.82341e+08
4  32  5.44898e+08
4  33  5.53693e+08
4  34  5.67079e+08
4  35  5.56846e+08
4  36  6.58244e+08
4  37  6.19123e+08
4  38  6.66133e+08
4  39  7.11614e+08
4  40  6.40324e+08
4  41  7.35319e+08
4  42  7.7577e+08
4  43  7.7546e+08
4  44  7.41776e+08
4  45  5.94415e+08
4  46  6.62381e+08
4  47  7.2408e+08
4  48  6.5051e+08
4  49  7.62913e+08
4  50  6.85605e+08
4  51  7.27525e+08
4  52  7.76612e+08
4  53  6.7701e+08
