row  column  (images_1_region2.edf K-K*images_1_region2.edf Ar-K**2.3)
1  34  7.08777e+06
1  35  6.39517e+06
1  36  5.75776e+06
1  37  4.99549e+06
1  38  1.1095e+07
1  39  9.3125e+06
1  40  4.41639e+06
1  41  1.63085e+07
1  42  9.70821e+06
1  43  1.18354e+07
1  44  1.05398e+07
1  45  4.4089e+06
1  46  1.12028e+07
1  47  1.0991e+07
1  48  4.60068e+06
1  49  1.00568e+07
1  50  1.57176e+06
1  51  4.82975e+06
1  52  0
1  53  0
1  54  1.03344e+07
1  55  3.73708e+06
1  56  0
1  57  1.14948e+07
1  58  6.84544e+06
1  59  7.14441e+06
1  60  0
1  61  1.28954e+07
1  62  8.23272e+06
1  63  6.27236e+06
1  64  6.74078e+06
1  65  0
1  66  8.79231e+06
1  67  5.26484e+06
2  0  4.09149e+06
2  1  3.51538e+06
2  2  1.23969e+07
2  3  4.3181e+06
2  4  6.74567e+06
2  5  1.05806e+07
2  6  4.15826e+06
2  7  6.93872e+06
2  8  1.22298e+07
2  9  7.38877e+06
2  10  5.00835e+06
2  11  4.48254e+06
2  12  2.65298e+06
2  13  986575
2  14  8.88068e+06
2  15  1.63381e+06
2  16  0
2  17  3.30237e+06
2  18  6.77988e+06
2  19  5.83191e+06
2  20  4.55633e+06
2  21  5.95088e+06
2  22  1.12778e+07
2  23  1.72575e+06
2  24  3.7379e+06
2  25  1.14681e+07
2  26  1.02626e+06
2  27  5.54411e+06
2  28  1.91537e+06
2  29  2.53319e+06
2  30  9.79839e+06
2  31  5.97271e+06
2  32  1.33773e+07
2  33  4.27595e+06
2  34  8.64292e+06
2  35  7.9897e+06
2  36  7.17927e+06
2  37  0
2  38  0
2  39  7.85617e+06
2  40  8.80872e+06
2  41  6.22564e+06
2  42  9.86088e+06
2  43  8.21074e+06
2  44  0
2  45  0
2  46  2.40355e+06
2  47  1.2527e+07
2  48  1.31383e+07
2  49  2.87111e+06
2  50  9.41486e+06
2  51  9.99259e+06
2  52  2.73537e+06
2  53  5.40197e+06
2  54  3.22283e+06
2  55  7.83369e+06
2  56  6.87571e+06
2  57  0
2  58  0
2  59  6.70415e+06
2  60  0
2  61  5.47914e+06
2  62  1.57798e+07
2  63  2.57677e+06
2  64  7.58712e+06
2  65  5.97966e+06
2  66  4.71825e+06
2  67  8.32903e+06
3  0  6.63849e+06
3  1  1.15157e+06
3  2  4.8324e+06
3  3  1.03217e+07
3  4  7.33767e+06
3  5  4.7604e+06
3  6  8.90681e+06
3  7  3.20159e+06
3  8  1.04618e+07
3  9  4.82724e+06
3  10  2.78032e+06
3  11  8.0648e+06
3  12  1.22664e+06
3  13  9.41613e+06
3  14  776443
3  15  6.74043e+06
3  16  2.61872e+06
3  17  4.82352e+06
3  18  7.66818e+06
3  19  3.03965e+06
3  20  2.10196e+06
3  21  4.68349e+06
3  22  4.66295e+06
3  23  5.49872e+06
3  24  2.64984e+06
3  25  2.22544e+06
3  26  3.44291e+06
3  27  2.44668e+06
3  28  0
