row  column  (images_1_region2.edf P-K*images_1_region2.edf Ar-K**2.3)
9  56  1.22775e+06
9  57  1.23133e+06
9  58  2.59736e+06
9  59  0
9  60  0
9  61  456524
9  62  0
9  63  0
9  64  0
9  65  0
9  66  0
9  67  271386
10  0  0
10  1  428285
10  2  0
10  3  0
10  4  0
10  5  1.44041e+06
10  6  655507
10  7  1.71332e+06
10  8  0
10  9  0
10  10  0
10  11  0
10  12  0
10  13  0
10  14  1.119e+06
10  15  0
10  16  0
10  17  492732
10  18  3.4813e+06
10  19  1.85312e+06
10  20  3.62392e+06
10  21  0
10  22  2.63677e+06
10  23  38476.9
10  24  0
10  25  0
10  26  0
10  27  1.62709e+06
10  28  0
10  29  0
10  30  0
10  31  0
10  32  1.81301e+06
10  33  0
10  34  455240
10  35  0
10  36  0
10  37  1.79186e+06
10  38  0
10  39  6.18904e+06
10  40  5.87486e+06
10  41  5.24069e+06
10  42  6.31644e+06
10  43  5.28921e+06
10  44  0
10  45  6.23719e+06
10  46  4.55098e+06
10  47  6.89173e+06
10  48  0
10  49  3.83368e+06
10  50  6.76227e+06
10  51  2.83422e+06
10  52  3.7399e+06
10  53  1.8649e+06
10  54  4.77669e+06
10  55  3.97113e+06
10  56  5.261e+06
10  57  2.38979e+06
10  58  0
10  59  4.80109e+06
10  60  0
10  61  0
10  62  1.54326e+06
10  63  1.5966e+06
10  64  0
10  65  1.75352e+06
10  66  0
10  67  0
11  0  18069
11  1  1.27501e+06
11  2  0
11  3  692822
11  4  0
11  5  649843
11  6  0
11  7  0
11  8  370653
11  9  1.48031e+06
11  10  0
11  11  1.25616e+06
11  12  0
11  13  0
11  14  0
11  15  2.10762e+06
11  16  0
11  17  0
11  18  1.66004e+06
11  19  684371
11  20  0
11  21  1.89452e+06
11  22  0
11  23  0
11  24  395565
11  25  0
11  26  792114
11  27  450062
11  28  2.50457e+06
11  29  190622
11  30  645871
11  31  792384
11  32  2.80971e+06
11  33  0
11  34  3.22691e+06
11  35  3.21788e+06
11  36  1.05535e+06
11  37  0
11  38  2.7238e+06
11  39  2.95728e+06
11  40  9.74673e+06
11  41  2.30453e+06
11  42  2.47637e+06
11  43  8.20378e+06
11  44  5.0511e+06
11  45  3.60972e+06
11  46  190154
11  47  4.97483e+06
11  48  0
11  49  5.34339e+06
11  50  1.35159e+06
11  51  1.39696e+06
11  52  324830
11  53  694572
11  54  3.53303e+06
11  55  2.77388e+06
11  56  4.72521e+06
11  57  4.28718e+06
11  58  885003
11  59  0
11  60  526660
11  61  2.16986e+06
11  62  0
11  63  112695
11  64  0
11  65  0
11  66  0
11  67  0
12  0  0
12  1  0
12  2  0
12  3  0
12  4  0
12  5  0
12  6  0
12  7  0
12  8  389785
12  9  0
12  10  0
12  11  0
12  12  0
12  13  0
12  14  0
12  15  0
12  16  0
12  17  0
12  18  409961
12  19  0
12  20  1.25839e+06
12  21  0
12  22  1.32593e+06
12  23  1.3646e+06
12  24  4.65e+06
12  25  693774
12  26  1.672e+06
12  27  380914
12  28  0
12  29  2.06631e+06
12  30  0
12  31  3.34044e+06
12  32  0
12  33  285701
12  34  0
12  35  515074
12  36  0
12  37  0
12  38  726773
12  39  5.67356e+06
12  40  4.45355e+06
12  41  1.9447e+06
12  42  1.17762e+06
12  43  4.4083e+06
12  44  5.49419e+06
12  45  6.63955e+06
12  46  3.84116e+06
12  47  2.16696e+06
12  48  7.21596e+06
12  49  329064
12  50  537608
12  51  2.23407e+06
12  52  4.34142e+06
12  53  2.93408e+06
12  54  1.54377e+06
12  55  1.01338e+06
12  56  0
12  57  2.53573e+06
12  58  2.81361e+06
12  59  1.81832e+06
12  60  555135
12  61  0
12  62  0
12  63  1.31223e+06
12  64  0
12  65  0
12  66  0
12  67  0
13  0  0
13  1  60307.7
13  2  971603
13  3  1.90526e+06
13  4  0
13  5  0
13  6  872374
13  7  0
13  8  32298.8
13  9  1.45984e+06
13  10  1.85276e+06
13  11  0
13  12  0
13  13  0
13  14  0
13  15  880702
13  16  0
13  17  3.10064e+06
13  18  0
13  19  0
13  20  1.43624e+06
13  21  0
13  22  0
13  23  3.15328e+06
13  24  124840
13  25  1.15931e+06
13  26  0
13  27  4.5116e+06
13  28  0
13  29  115806
13  30  0
13  31  89753
13  32  1.43602e+06
13  33  1.47326e+06
13  34  0
13  35  482942
13  36  1.31841e+06
13  37  0
13  38  769511
13  39  22724.7
13  40  8.09253e+06
13  41  335196
13  42  2.91125e+06
13  43  6.09218e+06
13  44  2.21226e+06
13  45  1.79202e+06
13  46  5.94404e+06
13  47  5.97396e+06
13  48  5.1917e+06
13  49  2.35517e+06
13  50  0
13  51  2.29031e+06
13  52  0
13  53  1.04128e+06
13  54  264370
13  55  772228
13  56  1.22318e+06
13  57  2.11361e+06
13  58  3.62381e+06
13  59  0
13  60  618078
13  61  0
13  62  0
13  63  515180
13  64  771491
13  65  0
13  66  0
13  67  0
14  0  326070
14  1  0
14  2  0
14  3  0
14  4  0
14  5  0
14  6  0
14  7  0
14  8  0
14  9  0
14  10  0
14  11  0
14  12  0
14  13  101922
14  14  1.35534e+06
14  15  0
14  16  338994
14  17  1.92919e+06
14  18  1.1107e+06
14  19  0
14  20  1.84119e+06
14  21  400231
14  22  0
14  23  0
14  24  979376
14  25  0
14  26  0
14  27  0
14  28  0
14  29  0
14  30  741808
14  31  1.58251e+06
14  32  1.16342e+06
14  33  0
14  34  0
14  35  5.4787e+06
14  36  2.80782e+06
14  37  0
14  38  2.62552e+06
14  39  1.32436e+06
14  40  0
14  41  3.73125e+06
14  42  5.38827e+06
14  43  2.5726e+06
14  44  1.79987e+06
14  45  1.8277e+06
14  46  877207
14  47  207394
14  48  2.99743e+06
14  49  1.08324e+07
14  50  3.80918e+06
14  51  2.83959e+06
14  52  4.5521e+06
14  53  3.54695e+06
14  54  2.69147e+06
14  55  931555
14  56  0
14  57  0
14  58  4.36315e+06
14  59  1.99678e+06
14  60  1.86223e+06
14  61  0
14  62  0
14  63  0
14  64  0
14  65  0
