row  column  (images_1_region2.edf Mn-K*images_1_region2.edf Ar-K**2.3)
13  27  2.73942e+06
13  28  7.53181e+06
13  29  1.55071e+07
13  30  4.15173e+06
13  31  1.17882e+06
13  32  0
13  33  6.89833e+06
13  34  6.40931e+06
13  35  1.15833e+07
13  36  1.16968e+07
13  37  7.66081e+06
13  38  0
13  39  2.78123e+06
13  40  0
13  41  7.06685e+06
13  42  4.57433e+06
13  43  1.10475e+07
13  44  2.46125e+06
13  45  4.5204e+06
13  46  3.66545e+06
13  47  0
13  48  959063
13  49  1.45071e+06
13  50  6.39081e+06
13  51  2.14161e+06
13  52  1.52741e+07
13  53  5.3896e+06
13  54  1.20339e+07
13  55  1.33602e+07
13  56  3.74431e+06
13  57  2.71504e+06
13  58  7.00036e+06
13  59  2.14758e+06
13  60  2.11312e+07
13  61  7.21879e+06
13  62  9.16137e+06
13  63  2.8121e+06
13  64  1.99601e+06
13  65  1.29821e+07
13  66  9.05757e+06
13  67  1.4119e+07
14  0  310635
14  1  5.49105e+06
14  2  1.48056e+07
14  3  7.25776e+06
14  4  1.1022e+07
14  5  4.76754e+06
14  6  1.48743e+06
14  7  2.83498e+06
14  8  1.12433e+07
14  9  1.09608e+07
14  10  1.04081e+07
14  11  7.35919e+06
14  12  4.32461e+06
14  13  6.5897e+06
14  14  0
14  15  6.71601e+06
14  16  4.94145e+06
14  17  622334
14  18  1.26211e+07
14  19  9.29268e+06
14  20  1.18138e+07
14  21  9.40614e+06
14  22  0
14  23  0
14  24  1.01718e+07
14  25  9.40692e+06
14  26  2.77346e+06
14  27  5.82199e+06
14  28  4.98439e+06
14  29  1.22377e+07
14  30  520834
14  31  7.70633e+06
14  32  4.37983e+06
14  33  4.58482e+06
14  34  9.66988e+06
14  35  914206
14  36  7.28446e+06
14  37  5.95592e+06
14  38  6.72508e+06
14  39  3.62679e+06
14  40  4.48752e+06
14  41  1.07249e+07
14  42  0
14  43  0
14  44  2.71267e+06
14  45  4.35062e+06
14  46  0
14  47  1.06586e+07
14  48  4.92915e+06
14  49  0
14  50  1.20579e+07
14  51  3.36359e+06
14  52  4.42611e+06
14  53  3.87305e+06
14  54  1.29016e+07
14  55  1.22693e+07
14  56  7.21137e+06
14  57  5.42687e+06
14  58  7.49275e+06
14  59  6.42538e+06
14  60  321628
14  61  8.71544e+06
14  62  8.25874e+06
14  63  4.30295e+06
14  64  9.80056e+06
14  65  6.5617e+06
14  66  0
14  67  6.53992e+06
15  0  8.12761e+06
15  1  7.59004e+06
15  2  2.62062e+06
15  3  3.97105e+06
15  4  3.68089e+06
15  5  1.10626e+06
15  6  6.10338e+06
15  7  2.49483e+06
15  8  4.25928e+06
15  9  5.54233e+06
15  10  0
15  11  5.75052e+06
15  12  0
15  13  7.51028e+06
15  14  4.26617e+06
15  15  1.20037e+06
15  16  4.59067e+06
15  17  1.15395e+07
15  18  5.81776e+06
15  19  0
15  20  3.20185e+06
15  21  7.60619e+06
15  22  5.7779e+06
15  23  0
15  24  2.66243e+06
15  25  2.89408e+06
15  26  2.81196e+06
15  27  1.21015e+07
15  28  5.53692e+06
15  29  1.09392e+07
15  30  7.16029e+06
15  31  8.29797e+06
15  32  9.17652e+06
15  33  9.41697e+06
15  34  3.37398e+06
15  35  1.37916e+07
15  36  2.48539e+06
15  37  8.61161e+06
15  38  9.22441e+06
15  39  4.35886e+06
15  40  1.48969e+07
15  41  0
15  42  3.96692e+06
15  43  1.20084e+07
15  44  8.02491e+06
15  45  5.46605e+06
15  46  0
15  47  5.18369e+06
15  48  9.42398e+06
15  49  0
15  50  4.19274e+06
15  51  8.2919e+06
15  52  4.76984e+06
15  53  768395
15  54  5.73914e+06
15  55  6.07209e+06
15  56  8.73307e+06
15  57  9.83872e+06
15  58  0
15  59  0
15  60  0
15  61  8.51226e+06
15  62  5.03237e+06
15  63  6.14265e+06
15  64  1.3509e+07
15  65  1.3345e+07
15  66  6.92705e+06
15  67  4.15238e+06
16  0  3.0364e+06
16  1  668801
16  2  7.85773e+06
16  3  6.44109e+06
16  4  2.85489e+06
16  5  8.0351e+06
16  6  6.91533e+06
16  7  6.29212e+06
16  8  1.22424e+07
16  9  5.05146e+06
16  10  7.53317e+06
16  11  4.36332e+06
16  12  4.74219e+06
16  13  6.06842e+06
16  14  6.80253e+06
16  15  4.32835e+06
16  16  1.07178e+06
16  17  1.16982e+07
16  18  0
16  19  3.32825e+06
16  20  7.85115e+06
16  21  1.13532e+07
16  22  0
16  23  2.05972e+06
16  24  1.01233e+07
16  25  2.72849e+06
16  26  0
16  27  5.10878e+06
16  28  8.36443e+06
16  29  3.9849e+06
16  30  0
16  31  2.36042e+06
16  32  8.40666e+06
16  33  5.44552e+06
16  34  8.0634e+06
16  35  0
16  36  6.65456e+06
16  37  6.40898e+06
16  38  722974
16  39  6.61375e+06
16  40  1.00563e+07
16  41  0
16  42  1.29767e+07
16  43  8.76826e+06
16  44  4.53694e+06
16  45  5.39385e+06
16  46  0
16  47  0
16  48  1.34871e+06
16  49  1.24861e+07
16  50  5.54892e+06
16  51  0
16  52  0
16  53  5.16582e+06
16  54  1.14412e+07
16  55  1.23487e+07
