row  column  (images_1_region2.edf Fe-K*images_1_region2.edf Ar-K**2.3)
7  4  3.03604e+07
7  5  3.12356e+07
7  6  2.56769e+07
7  7  3.8595e+07
7  8  4.01004e+07
7  9  4.50891e+07
7  10  4.37836e+07
7  11  5.76162e+07
7  12  4.16682e+07
7  13  4.0298e+07
7  14  4.41083e+07
7  15  3.11727e+07
7  16  5.28341e+07
7  17  6.17996e+07
7  18  6.19813e+07
7  19  5.18579e+07
7  20  5.4742e+07
7  21  4.92508e+07
7  22  7.14712e+07
7  23  6.74929e+07
7  24  6.89421e+07
7  25  5.19645e+07
7  26  6.63414e+07
7  27  5.54951e+07
7  28  5.2917e+07
7  29  5.66583e+07
7  30  5.39704e+07
7  31  6.07602e+07
7  32  6.50073e+07
7  33  8.09046e+07
7  34  7.10335e+07
7  35  7.91174e+07
7  36  7.19339e+07
7  37  8.57032e+07
7  38  7.71702e+07
7  39  8.47594e+07
7  40  1.05802e+08
7  41  1.14788e+08
7  42  1.09396e+08
7  43  1.0439e+08
7  44  9.46215e+07
7  45  9.87026e+07
7  46  7.95421e+07
7  47  8.89101e+07
7  48  9.25289e+07
7  49  8.60885e+07
7  50  8.3547e+07
7  51  7.12055e+07
7  52  8.12165e+07
7  53  9.07884e+07
7  54  8.16086e+07
7  55  7.75909e+07
7  56  9.76368e+07
7  57  8.71389e+07
7  58  9.62023e+07
7  59  9.70061e+07
7  60  8.20585e+07
7  61  4.85203e+07
7  62  5.56416e+07
7  63  4.7264e+07
7  64  4.19799e+07
7  65  3.95049e+07
7  66  3.24418e+07
7  67  4.26678e+07
8  0  2.59034e+07
8  1  2.64019e+07
8  2  2.459e+07
8  3  1.69838e+07
8  4  1.93413e+07
8  5  3.15989e+07
8  6  2.62637e+07
8  7  3.91095e+07
8  8  3.69742e+07
8  9  5.03452e+07
8  10  3.5855e+07
8  11  4.98839e+07
8  12  4.43934e+07
8  13  4.03399e+07
8  14  4.72537e+07
8  15  4.75414e+07
8  16  6.02515e+07
8  17  8.46724e+07
8  18  6.67509e+07
8  19  6.08973e+07
8  20  5.28148e+07
8  21  6.53918e+07
8  22  5.2211e+07
8  23  8.10838e+07
8  24  6.31959e+07
8  25  6.01933e+07
8  26  6.06542e+07
8  27  6.18855e+07
8  28  4.79121e+07
8  29  4.98272e+07
8  30  6.99741e+07
8  31  6.55378e+07
8  32  7.71188e+07
8  33  7.80376e+07
8  34  7.92225e+07
8  35  6.17283e+07
8  36  8.27362e+07
8  37  2.51876e+07
8  38  8.41203e+07
8  39  9.95489e+07
8  40  9.81681e+07
8  41  1.12802e+08
8  42  5.49201e+07
8  43  1.03148e+08
8  44  1.08766e+08
8  45  1.05846e+08
8  46  9.00504e+07
8  47  7.91789e+07
8  48  8.85017e+07
8  49  8.74206e+07
8  50  8.49471e+07
8  51  1.12471e+08
8  52  9.57606e+07
8  53  9.84321e+07
8  54  2.30894e+07
8  55  9.43145e+07
8  56  8.44806e+07
8  57  1.00599e+08
8  58  8.5548e+07
8  59  9.13952e+07
8  60  7.27586e+07
8  61  6.2263e+07
8  62  5.5716e+07
8  63  3.54481e+07
8  64  6.25533e+07
8  65  3.12968e+07
8  66  3.45587e+07
8  67  3.94482e+07
9  0  2.02489e+07
9  1  1.01785e+07
9  2  1.79692e+07
9  3  1.80827e+07
9  4  2.88646e+07
9  5  2.93841e+07
9  6  3.97402e+07
9  7  3.48737e+07
9  8  3.86372e+07
9  9  4.42397e+07
9  10  4.66294e+07
9  11  4.34933e+07
9  12  5.77606e+07
9  13  4.74165e+07
9  14  5.67933e+07
9  15  4.59504e+07
9  16  7.89209e+07
9  17  7.87174e+07
9  18  5.36177e+07
9  19  7.09726e+07
9  20  5.60725e+07
9  21  7.02001e+07
9  22  6.08396e+07
9  23  8.76491e+07
9  24  7.74808e+07
9  25  6.83488e+07
9  26  6.77349e+07
9  27  5.31877e+07
9  28  6.58829e+07
9  29  6.31533e+07
9  30  6.51771e+07
9  31  6.57603e+07
9  32  8.05915e+07
9  33  1.03327e+08
9  34  8.87577e+07
9  35  8.18519e+07
9  36  8.83643e+07
9  37  8.13011e+07
9  38  9.10621e+07
9  39  1.12163e+08
9  40  9.37183e+07
9  41  1.20272e+08
9  42  1.30791e+08
9  43  1.22585e+08
9  44  1.08607e+08
9  45  1.05491e+08
9  46  7.68239e+07
9  47  8.08142e+07
9  48  9.69698e+07
9  49  9.56507e+07
9  50  0
9  51  8.64013e+07
9  52  8.04256e+07
9  53  1.00142e+08
9  54  8.55229e+07
9  55  9.71952e+07
9  56  9.69083e+07
9  57  1.04123e+08
9  58  9.76341e+07
9  59  9.08428e+07
9  60  8.50069e+07
9  61  7.96036e+07
9  62  6.59725e+07
9  63  4.36742e+07
9  64  5.34896e+07
9  65  5.1894e+07
9  66  3.37179e+07
9  67  3.35187e+07
10  0  1.71738e+07
10  1  2.76963e+07
10  2  1.98932e+07
10  3  1.63917e+07
10  4  2.21122e+07
10  5  3.04041e+07
10  6  3.91469e+07
10  7  4.10317e+07
10  8  5.18018e+07
10  9  4.78408e+07
10  10  5.76746e+07
10  11  6.35364e+07
10  12  5.27959e+07
10  13  4.36091e+07
10  14  4.74505e+07
10  15  6.7156e+07
10  16  8.79157e+07
10  17  7.54429e+07
10  18  5.58375e+07
10  19  6.07339e+07
10  20  5.54128e+07
10  21  8.57578e+07
10  22  9.1076e+07
10  23  9.63377e+07
10  24  6.55403e+07
10  25  6.53256e+07
10  26  7.04475e+07
10  27  7.82245e+07
10  28  6.20389e+07
10  29  7.3555e+07
10  30  7.5221e+07
10  31  8.21915e+07
10  32  9.43429e+07
10  33  9.00439e+07
10  34  8.33712e+07
10  35  9.33443e+07
10  36  8.39478e+07
10  37  8.05456e+07
10  38  8.8781e+07
10  39  1.17539e+08
10  40  1.24867e+08
10  41  1.42348e+08
10  42  1.31675e+08
10  43  1.30662e+08
10  44  9.93786e+07
10  45  9.49874e+07
10  46  8.75542e+07
10  47  8.16983e+07
10  48  9.27883e+07
10  49  8.02761e+07
10  50  8.0351e+07
10  51  9.22282e+07
10  52  1.05838e+08
10  53  8.67801e+07
10  54  1.05924e+08
10  55  1.15235e+08
10  56  9.47326e+07
10  57  9.44985e+07
10  58  9.08396e+07
10  59  8.24849e+07
10  60  8.03498e+07
10  61  7.23199e+07
10  62  5.04136e+07
10  63  4.81611e+07
10  64  4.04188e+07
10  65  3.85821e+07
10  66  3.65682e+07
10  67  4.62738e+07
11  0  3.34917e+07
11  1  1.69822e+07
11  2  3.3287e+07
11  3  2.0812e+07
11  4  2.33656e+07
11  5  3.11589e+07
11  6  4.48463e+07
11  7  3.44682e+07
11  8  4.17984e+07
11  9  4.16929e+07
11  10  5.35423e+07
11  11  6.98834e+07
11  12  6.30148e+07
11  13  4.72175e+07
11  14  4.95194e+07
11  15  6.43732e+07
11  16  6.29298e+07
11  17  8.9536e+07
11  18  7.7144e+07
11  19  7.62686e+07
11  20  7.94816e+07
11  21  6.11352e+07
11  22  7.40259e+07
11  23  9.43909e+07
11  24  7.26662e+07
11  25  7.81585e+07
11  26  7.75039e+07
11  27  6.31635e+07
11  28  5.84853e+07
11  29  5.88976e+07
11  30  7.90497e+07
11  31  7.76659e+07
11  32  9.40114e+07
11  33  8.82358e+07
