row  column  (images_1_region2.edf Zn-K*images_1_region2.edf Ar-K**2.3)
2  32  5.46504e+07
2  33  1.91487e+07
2  34  3.64801e+07
2  35  2.40262e+07
2  36  4.84234e+07
2  37  3.87495e+07
2  38  4.31101e+07
2  39  6.8894e+07
2  40  5.1368e+07
2  41  5.2629e+07
2  42  6.34196e+07
2  43  4.97802e+07
2  44  7.1503e+07
2  45  5.13528e+07
2  46  4.44951e+07
2  47  5.34593e+07
2  48  6.45585e+07
2  49  1.01892e+08
2  50  1.00018e+08
2  51  7.8941e+07
2  52  8.97482e+07
2  53  8.4611e+07
2  54  9.20671e+07
2  55  7.3374e+07
2  56  8.36215e+07
2  57  9.43146e+07
2  58  1.06938e+08
2  59  1.09404e+08
2  60  6.64034e+07
2  61  4.7653e+07
2  62  5.81729e+07
2  63  2.42055e+07
2  64  2.34041e+07
2  65  1.98614e+07
2  66  9.0156e+06
2  67  4.74869e+06
3  0  4.41637e+06
3  1  4.21296e+06
3  2  4.44511e+06
3  3  1.487e+07
3  4  1.97164e+06
3  5  2.29094e+07
3  6  5.50885e+06
3  7  4.52322e+06
3  8  2.51858e+07
3  9  1.84563e+07
3  10  3.8442e+06
3  11  2.86935e+06
3  12  955207
3  13  1.58006e+07
3  14  0
3  15  2.09434e+07
3  16  1.17752e+07
3  17  1.16359e+07
3  18  1.26814e+07
3  19  0
3  20  1.03905e+07
3  21  8.86381e+06
3  22  8.4199e+06
3  23  1.1547e+07
3  24  2.1177e+07
3  25  1.29174e+07
3  26  1.47801e+07
3  27  0
3  28  1.88079e+07
3  29  2.00409e+07
3  30  2.37082e+07
3  31  1.98734e+07
3  32  1.74001e+07
3  33  2.3513e+07
3  34  2.65444e+07
3  35  3.22967e+07
3  36  2.75243e+07
3  37  3.33571e+07
3  38  6.3934e+07
3  39  6.38341e+07
3  40  7.89775e+07
3  41  5.74251e+07
3  42  5.80519e+07
3  43  7.2444e+07
3  44  6.56912e+07
3  45  4.88072e+07
3  46  6.9909e+07
3  47  6.40081e+07
3  48  6.7248e+07
3  49  7.75053e+07
3  50  1.37351e+08
3  51  1.11495e+08
3  52  9.19833e+07
3  53  1.13202e+08
3  54  1.2121e+08
3  55  1.00124e+08
3  56  1.05387e+08
3  57  8.718e+07
3  58  1.09573e+08
3  59  1.2496e+08
3  60  1.1855e+08
3  61  6.49045e+07
3  62  3.84129e+07
3  63  4.08577e+07
3  64  1.47817e+07
3  65  1.05664e+07
3  66  8.35396e+06
3  67  2.2402e+07
4  0  4.92225e+06
4  1  7.79591e+06
4  2  1.99894e+07
4  3  1.33999e+07
4  4  1.15693e+07
4  5  0
4  6  4.36307e+06
4  7  93682.1
4  8  0
4  9  1.29759e+07
4  10  2.77653e+07
4  11  8.81149e+06
4  12  0
4  13  0
4  14  1.05107e+07
4  15  1.72438e+07
4  16  2.24749e+07
4  17  1.10308e+07
4  18  1.30368e+07
4  19  1.6515e+07
4  20  2.45402e+07
4  21  7.30392e+06
4  22  8.96866e+06
4  23  3.75224e+07
4  24  2.5585e+07
4  25  1.49135e+07
4  26  2.31535e+07
4  27  2.37172e+07
4  28  1.8811e+07
4  29  1.86638e+07
4  30  1.20538e+07
4  31  2.90619e+07
4  32  3.75456e+07
4  33  3.17541e+07
4  34  2.70439e+07
4  35  2.9955e+07
4  36  4.52233e+07
4  37  5.01569e+07
4  38  5.77543e+07
4  39  6.40146e+07
4  40  7.10067e+07
4  41  6.87139e+07
4  42  6.7546e+07
4  43  6.79155e+07
4  44  6.48716e+07
4  45  4.38227e+07
4  46  8.25829e+07
4  47  6.55358e+07
4  48  6.8988e+07
4  49  1.22699e+08
4  50  1.03409e+08
4  51  9.68952e+07
4  52  9.81598e+07
4  53  1.26754e+08
4  54  9.2329e+07
4  55  8.49045e+07
4  56  9.18867e+07
4  57  8.03552e+07
4  58  1.10404e+08
4  59  1.14599e+08
4  60  6.4112e+07
4  61  5.97054e+07
4  62  4.97823e+07
4  63  3.40665e+07
4  64  1.36603e+07
4  65  1.99981e+07
4  66  1.39515e+07
4  67  2.17441e+07
5  0  0
5  1  7.54957e+06
5  2  6.35105e+06
5  3  0
5  4  3.64052e+06
5  5  345450
5  6  0
5  7  7.6737e+06
5  8  7.90831e+06
5  9  9.46397e+06
5  10  1.07146e+07
5  11  5.65586e+06
5  12  6.1684e+06
5  13  2.26619e+07
5  14  5.4676e+06
5  15  2.09038e+07
5  16  1.24461e+07
5  17  1.27739e+07
5  18  1.30763e+07
5  19  1.3354e+07
5  20  2.00605e+07
5  21  6.87054e+06
5  22  1.08944e+07
5  23  2.23032e+06
5  24  2.64567e+07
5  25  3.36873e+07
5  26  2.63071e+07
5  27  0
5  28  2.20741e+07
5  29  2.32484e+07
5  30  2.85612e+07
5  31  4.43877e+07
5  32  5.66239e+07
5  33  4.7648e+07
5  34  4.97146e+07
5  35  7.26663e+07
5  36  6.12864e+07
5  37  5.34581e+07
5  38  6.79422e+07
5  39  9.44639e+07
5  40  1.02947e+08
5  41  9.06815e+07
5  42  8.46799e+07
5  43  7.5507e+07
5  44  6.96064e+07
5  45  5.4894e+07
5  46  7.99012e+07
5  47  7.42615e+07
5  48  8.54806e+07
5  49  1.14443e+08
5  50  1.2917e+08
5  51  1.23914e+08
5  52  1.27072e+08
5  53  1.05521e+08
5  54  8.98853e+07
5  55  1.16436e+08
5  56  1.17188e+08
5  57  1.33699e+08
5  58  1.34746e+08
5  59  1.25941e+08
5  60  8.0324e+07
5  61  7.31686e+07
5  62  3.53547e+07
5  63  3.29091e+07
5  64  9.55973e+06
5  65  5.97054e+06
5  66  1.50934e+07
5  67  1.47546e+07
6  0  0
6  1  5.86697e+06
6  2  0
6  3  5.33029e+06
6  4  0
6  5  1.32155e+07
6  6  1.44322e+07
6  7  4.18979e+06
6  8  1.3313e+07
6  9  0
6  10  1.02112e+07
6  11  4.18301e+06
6  12  1.22526e+07
6  13  1.55737e+07
6  14  2.57924e+07
6  15  2.25654e+07
6  16  2.30206e+07
6  17  1.82054e+07
6  18  1.70768e+07
6  19  1.90573e+07
6  20  2.03788e+07
6  21  8.72866e+06
6  22  2.20789e+07
6  23  2.33567e+07
6  24  2.98219e+07
6  25  2.89837e+07
6  26  1.98186e+07
6  27  2.70026e+07
6  28  5.76701e+07
6  29  4.76127e+07
6  30  3.8111e+07
6  31  5.19221e+07
6  32  4.69081e+07
6  33  3.87759e+07
6  34  4.77693e+07
6  35  5.56726e+07
6  36  5.87788e+07
6  37  6.78975e+07
6  38  7.36537e+07
6  39  8.80979e+07
6  40  8.83128e+07
6  41  9.72935e+07
6  42  1.06712e+08
6  43  8.4162e+07
6  44  8.85553e+07
6  45  8.82002e+07
6  46  7.31517e+07
6  47  8.28611e+07
6  48  1.09114e+08
6  49  9.69568e+07
6  50  1.27161e+08
6  51  1.31605e+08
6  52  1.54774e+08
6  53  1.19031e+08
6  54  1.4672e+08
6  55  1.47697e+08
6  56  1.52418e+08
6  57  1.52397e+08
6  58  1.62424e+08
6  59  1.30799e+08
6  60  1.00879e+08
6  61  8.97141e+07
6  62  6.09395e+07
6  63  3.37357e+07
6  64  4.49179e+07
6  65  1.03333e+07
6  66  0
6  67  1.12016e+07
7  0  1.56005e+07
7  1  2.58193e+07
7  2  0
7  3  1.97878e+06
7  4  6.78089e+06
7  5  1.7739e+07
7  6  1.36737e+07
7  7  1.94424e+07
7  8  1.01142e+07
7  9  9.46716e+06
7  10  0
7  11  1.64824e+07
7  12  1.36992e+07
7  13  8.72223e+06
7  14  1.36006e+07
7  15  2.35991e+07
7  16  2.11711e+07
7  17  1.86242e+07
7  18  2.44511e+07
7  19  2.72596e+07
7  20  1.44062e+07
7  21  1.71655e+07
7  22  1.30676e+07
7  23  2.26689e+07
7  24  4.53617e+07
7  25  2.29148e+07
7  26  2.90173e+07
7  27  2.77152e+07
7  28  3.43346e+07
7  29  4.90554e+07
7  30  5.99599e+07
7  31  6.43212e+07
7  32  3.57036e+07
7  33  5.22085e+07
7  34  4.14455e+07
7  35  6.08616e+07
7  36  4.85686e+07
7  37  6.91835e+07
7  38  7.96684e+07
7  39  1.01383e+08
7  40  1.07781e+08
7  41  9.59013e+07
7  42  9.10884e+07
7  43  1.09303e+08
7  44  9.15893e+07
7  45  8.94003e+07
7  46  8.62144e+07
7  47  1.01366e+08
7  48  1.00927e+08
7  49  1.31242e+08
7  50  1.20758e+08
7  51  1.30007e+08
7  52  1.26574e+08
7  53  1.19455e+08
7  54  3.21807e+07
7  55  1.47284e+08
7  56  1.24521e+08
7  57  1.32174e+08
7  58  1.40933e+08
7  59  1.79068e+08
7  60  1.19807e+08
7  61  1.05339e+08
