row  column  (images_1_region2.edf Cu-K*images_1_region2.edf Ar-K**2.3)
3  48  1.16284e+06
3  49  306233
3  50  1.52946e+07
3  51  8.97725e+06
3  52  0
3  53  1.74631e+07
3  54  1.8189e+07
3  55  1.79997e+07
3  56  1.21021e+07
3  57  2.50755e+06
3  58  0
3  59  1.5226e+07
3  60  1.2196e+07
3  61  0
3  62  0
3  63  0
3  64  2.84536e+06
3  65  0
3  66  5.77319e+06
3  67  1.32471e+07
4  0  3.19872e+06
4  1  0
4  2  7.84629e+06
4  3  3.21984e+06
4  4  1.72389e+07
4  5  0
4  6  0
4  7  0
4  8  1.5696e+06
4  9  2.75991e+06
4  10  1.35469e+07
4  11  3.32382e+06
4  12  0
4  13  1.2587e+06
4  14  3.83076e+06
4  15  4.43949e+06
4  16  9.36504e+06
4  17  1.35387e+06
4  18  2.21109e+06
4  19  0
4  20  5.49583e+06
4  21  0
4  22  5.79195e+06
4  23  1.08752e+07
4  24  1.47324e+07
4  25  0
4  26  1.07038e+07
4  27  0
4  28  1.24451e+06
4  29  0
4  30  1.22374e+07
4  31  0
4  32  1.12883e+07
4  33  0
4  34  0
4  35  0
4  36  4.03132e+06
4  37  0
4  38  6.13632e+06
4  39  754577
4  40  1.81687e+07
4  41  0
4  42  1.88549e+06
4  43  328192
4  44  0
4  45  6.07021e+06
4  46  1.20355e+06
4  47  0
4  48  679549
4  49  1.67054e+07
4  50  0
4  51  0
4  52  9.80946e+06
4  53  1.4429e+07
4  54  1.3038e+06
4  55  0
4  56  525865
4  57  0
4  58  1.29013e+07
4  59  0
4  60  1.78021e+07
4  61  0
4  62  0
4  63  0
4  64  0
4  65  3.9306e+06
4  66  6.12845e+06
4  67  1.48845e+07
5  0  0
5  1  2.52225e+06
5  2  0
5  3  0
5  4  87635.3
5  5  0
5  6  2.4675e+06
5  7  2.39458e+06
5  8  0
5  9  1.43397e+07
5  10  0
5  11  0
5  12  8.89032e+06
5  13  1.10891e+07
5  14  7153.4
5  15  2.15579e+07
5  16  0
5  17  7.49591e+06
5  18  0
5  19  0
5  20  3.04912e+06
5  21  0
5  22  0
5  23  6.03968e+06
5  24  0
5  25  1.49291e+07
5  26  6.90333e+06
5  27  1.97187e+07
5  28  0
5  29  7.45411e+06
5  30  0
5  31  9.27426e+06
5  32  1.07218e+07
5  33  0
5  34  6.9166e+06
5  35  8.22397e+06
5  36  8.31057e+06
5  37  3.89912e+06
5  38  0
5  39  1.56061e+07
5  40  1.71893e+07
5  41  1.58391e+07
5  42  1.00091e+07
5  43  0
5  44  140847
5  45  0
5  46  7.84169e+06
5  47  0
5  48  0
5  49  9.89977e+06
5  50  0
5  51  2.66728e+06
5  52  1.48905e+06
5  53  9.64944e+06
5  54  7.15403e+06
5  55  54893.3
5  56  0
5  57  3.85223e+06
5  58  4.73765e+06
5  59  5.48979e+06
5  60  0
5  61  407930
5  62  0
5  63  0
5  64  0
5  65  674267
5  66  2.80106e+06
5  67  2.07777e+06
6  0  146587
6  1  5.6987e+06
6  2  0
6  3  5.76946e+06
6  4  3.86612e+06
6  5  2.98555e+06
6  6  8.39117e+06
6  7  0
6  8  2.22064e+06
6  9  0
6  10  0
6  11  858837
6  12  0
6  13  4.41919e+06
6  14  5.29008e+06
6  15  1.23194e+07
6  16  1.11545e+06
6  17  1.65648e+06
6  18  1.70421e+06
6  19  387885
6  20  9.77432e+06
6  21  3.68977e+06
6  22  5.47839e+06
6  23  0
6  24  0
6  25  8.26896e+06
6  26  68989.9
6  27  3.8441e+06
6  28  8.023e+06
6  29  1.03471e+07
6  30  0
6  31  7.61833e+06
6  32  7.21519e+06
6  33  9.71446e+06
6  34  9.66384e+06
6  35  5.84699e+06
6  36  7.36051e+06
6  37  0
6  38  0
6  39  1.11989e+07
6  40  1.35431e+07
6  41  0
6  42  1.37179e+07
6  43  1.08387e+07
6  44  9.19203e+06
6  45  0
6  46  0
