row  column  (images_10_7176.edf Mn_K*images_10_7176.edf Ar_K**2.3)
1  11  8.56064e+06
1  12  9.53966e+06
1  13  8.7091e+06
1  14  7.53608e+06
1  15  7.59088e+06
1  16  5.58485e+06
1  17  8.34469e+06
1  18  6.13865e+06
1  19  1.27708e+07
1  20  8.30255e+06
1  21  1.03915e+07
1  22  8.88832e+06
1  23  7.33955e+06
1  24  7.36102e+06
1  25  1.31731e+07
1  26  8.81631e+06
1  27  7.97741e+06
1  28  6.06644e+06
1  29  9.41684e+06
1  30  6.27421e+06
1  31  5.21251e+06
1  32  4.59179e+06
1  33  5.98555e+06
1  34  7.59411e+06
1  35  5.34689e+06
1  36  6.8154e+06
1  37  7.84676e+06
1  38  4.2196e+06
1  39  1.36794e+06
1  40  8.15725e+06
1  41  8.44492e+06
1  42  2.10574e+06
1  43  6.01058e+06
1  44  8.40028e+06
1  45  8.40372e+06
1  46  4.70806e+06
1  47  5.81813e+06
1  48  3.21906e+06
1  49  5.59322e+06
1  50  9.0792e+06
1  51  6.35701e+06
1  52  2.78158e+06
1  53  2.76646e+06
1  54  7.77504e+06
1  55  7.16707e+06
1  56  7.83145e+06
1  57  4.10841e+06
1  58  5.64087e+06
1  59  9.40156e+06
1  60  1.13493e+07
1  61  6.96739e+06
1  62  6.01098e+06
1  63  6.11978e+06
1  64  6.70624e+06
1  65  9.16125e+06
1  66  7.41712e+06
1  67  1.01991e+07
1  68  7.664e+06
1  69  7.84184e+06
1  70  9.75127e+06
1  71  5.63823e+06
1  72  9.81739e+06
1  73  4.48161e+06
1  74  8.58203e+06
1  75  5.61442e+06
1  76  7.09127e+06
1  77  9.44905e+06
1  78  1.24529e+07
1  79  2.11546e+06
1  80  5.05975e+06
1  81  8.02463e+06
1  82  5.60913e+06
1  83  1.08478e+07
1  84  1.02038e+07
1  85  7.00171e+06
1  86  6.55678e+06
1  87  7.57212e+06
1  88  7.54731e+06
1  89  9.08275e+06
1  90  6.60206e+06
1  91  1.06816e+07
1  92  4.72092e+06
1  93  7.99959e+06
1  94  6.2922e+06
1  95  7.59657e+06
1  96  3.5309e+06
1  97  1.5048e+07
1  98  1.57141e+07
1  99  1.31247e+07
1  100  7.51474e+06
2  0  5.99892e+06
2  1  5.3879e+06
2  2  7.05376e+06
2  3  1.01379e+07
2  4  5.91103e+06
2  5  6.94027e+06
2  6  4.9649e+06
2  7  7.33087e+06
2  8  7.58493e+06
2  9  7.60589e+06
2  10  1.06129e+07
2  11  8.60006e+06
2  12  3.2361e+06
2  13  9.82964e+06
2  14  9.2965e+06
2  15  8.82324e+06
2  16  6.09239e+06
2  17  4.4457e+06
2  18  3.8592e+06
2  19  1.08061e+07
2  20  5.73142e+06
2  21  4.91703e+06
2  22  1.21984e+07
2  23  1.10363e+07
2  24  5.44913e+06
2  25  1.00092e+07
2  26  5.47549e+06
2  27  5.9668e+06
2  28  2.18143e+06
2  29  1.43503e+07
2  30  1.54665e+07
2  31  8.23868e+06
2  32  7.82634e+06
2  33  9.21772e+06
2  34  7.0713e+06
2  35  8.14005e+06
2  36  6.90572e+06
2  37  6.30858e+06
2  38  9.60317e+06
2  39  5.65981e+06
2  40  7.74522e+06
2  41  5.43614e+06
2  42  6.27334e+06
2  43  7.17469e+06
2  44  7.65448e+06
2  45  4.27607e+06
2  46  4.77385e+06
2  47  5.57696e+06
2  48  1.23422e+06
2  49  2.56161e+06
2  50  6.17475e+06
2  51  8.04698e+06
2  52  7.94651e+06
2  53  6.38344e+06
2  54  6.70869e+06
2  55  4.24401e+06
2  56  6.62872e+06
2  57  1.01075e+07
2  58  7.62361e+06
2  59  6.98957e+06
2  60  1.02356e+07
2  61  5.1346e+06
2  62  7.14048e+06
2  63  8.24502e+06
2  64  1.33092e+07
2  65  9.10564e+06
2  66  9.46578e+06
2  67  7.29074e+06
2  68  8.56446e+06
2  69  6.77332e+06
2  70  9.73426e+06
2  71  1.06347e+07
2  72  7.14548e+06
2  73  6.01217e+06
2  74  8.77945e+06
2  75  9.92733e+06
2  76  6.74499e+06
2  77  9.81098e+06
2  78  7.56972e+06
2  79  2.60307e+06
2  80  7.28491e+06
2  81  1.06966e+07
2  82  1.06472e+07
2  83  1.19075e+07
2  84  1.06981e+07
2  85  1.41214e+07
2  86  5.58936e+06
2  87  1.31509e+07
2  88  6.31777e+06
2  89  1.06061e+07
2  90  1.11287e+07
2  91  7.86233e+06
2  92  1.07073e+07
2  93  1.08734e+07
2  94  1.12704e+07
2  95  4.8846e+06
2  96  8.41472e+06
2  97  1.23772e+07
2  98  1.05252e+07
2  99  1.25441e+07
2  100  9.27669e+06
3  0  5.25348e+06
3  1  4.41764e+06
3  2  9.58452e+06
3  3  8.79541e+06
3  4  6.43228e+06
3  5  6.16645e+06
3  6  7.58904e+06
3  7  7.11834e+06
3  8  9.80697e+06
3  9  4.26308e+06
3  10  5.25381e+06
3  11  9.15889e+06
3  12  1.11224e+07
3  13  7.16215e+06
3  14  7.64781e+06
3  15  3.25924e+06
3  16  1.10931e+07
3  17  8.63004e+06
3  18  1.16269e+07
3  19  1.11657e+07
3  20  8.9838e+06
3  21  6.97353e+06
3  22  7.04622e+06
3  23  7.27036e+06
3  24  8.17679e+06
3  25  1.34731e+07
3  26  8.59321e+06
3  27  5.64941e+06
3  28  3.28702e+06
3  29  6.26801e+06
3  30  1.16454e+07
3  31  7.50807e+06
3  32  5.75732e+06
