row  column  (images_10_7176.edf Zn_K*images_10_7176.edf Ar_K**2.3)
4  77  4.75819e+07
4  78  4.96623e+07
4  79  4.35221e+07
4  80  6.3194e+07
4  81  6.54472e+07
4  82  7.90077e+07
4  83  7.73361e+07
4  84  5.24063e+07
4  85  5.00511e+07
4  86  5.62788e+07
4  87  5.8846e+07
4  88  4.67298e+07
4  89  5.91464e+07
4  90  6.1849e+07
4  91  6.34845e+07
4  92  7.8444e+07
4  93  7.54285e+07
4  94  4.18291e+07
4  95  3.98782e+07
4  96  2.97959e+07
4  97  2.83694e+07
4  98  2.4911e+07
4  99  4.80209e+07
4  100  6.97152e+07
5  0  0
5  1  0
5  2  0
5  3  708332
5  4  1.75135e+06
5  5  0
5  6  0
5  7  0
5  8  0
5  9  1.48834e+06
5  10  0
5  11  0
5  12  0
5  13  1.6967e+06
5  14  0
5  15  912058
5  16  917269
5  17  2.41927e+06
5  18  2.43269e+06
5  19  1.45164e+06
5  20  908836
5  21  2.35803e+06
5  22  7.43523e+06
5  23  8.0168e+06
5  24  0
5  25  910016
5  26  9.85129e+06
5  27  1.1664e+07
5  28  1.3455e+07
5  29  1.69749e+07
5  30  4.48727e+07
5  31  6.23243e+07
5  32  8.75314e+07
5  33  8.35419e+07
5  34  7.01453e+07
5  35  6.07097e+07
5  36  6.8915e+07
5  37  8.1426e+07
5  38  7.88223e+07
5  39  7.77627e+07
5  40  7.45319e+07
5  41  7.41836e+07
5  42  5.55481e+07
5  43  6.84832e+07
5  44  5.08375e+07
5  45  6.02254e+07
5  46  6.10354e+07
5  47  6.21807e+07
5  48  6.06658e+07
5  49  5.4587e+07
5  50  5.77283e+07
5  51  6.47574e+07
5  52  7.02475e+07
5  53  8.37448e+07
5  54  7.7134e+07
5  55  6.7038e+07
5  56  7.37058e+07
5  57  6.51934e+07
5  58  4.62724e+07
5  59  5.60554e+07
5  60  5.73797e+07
5  61  4.26826e+07
5  62  2.13975e+07
5  63  2.59313e+07
5  64  3.34908e+07
5  65  3.93342e+07
5  66  4.66538e+07
5  67  5.77253e+07
5  68  6.67092e+07
5  69  6.12676e+07
5  70  5.69128e+07
5  71  5.38394e+07
5  72  5.30848e+07
5  73  5.80377e+07
5  74  6.99932e+07
5  75  5.66157e+07
5  76  4.23432e+07
5  77  5.0926e+07
5  78  4.74951e+07
5  79  5.76737e+07
5  80  6.22948e+07
5  81  6.92791e+07
5  82  7.68936e+07
5  83  6.16269e+07
5  84  4.35386e+07
5  85  4.93615e+07
5  86  6.00563e+07
5  87  6.31312e+07
5  88  6.39255e+07
5  89  4.85242e+07
5  90  5.09023e+07
5  91  5.42719e+07
5  92  6.93713e+07
5  93  7.78118e+07
5  94  4.42544e+07
5  95  3.04966e+07
5  96  2.9517e+07
5  97  2.43937e+07
5  98  3.50757e+07
5  99  3.61626e+07
5  100  6.63766e+07
6  0  0
6  1  0
6  2  1.09032e+06
6  3  494661
6  4  819842
6  5  172346
6  6  0
6  7  1.34474e+06
6  8  1.18597e+06
6  9  4.06147e+06
6  10  748846
6  11  0
6  12  256299
6  13  0
6  14  0
6  15  0
6  16  7.30364e+06
6  17  0
6  18  7.40381e+06
6  19  5.95308e+06
6  20  9.5816e+06
6  21  1.14521e+07
6  22  4.57686e+06
6  23  3.88942e+06
6  24  3.25365e+06
6  25  7.48482e+06
6  26  1.07209e+07
6  27  1.30504e+07
6  28  1.7173e+07
6  29  1.53685e+07
6  30  2.46817e+07
6  31  4.26401e+07
6  32  7.20602e+07
6  33  8.7572e+07
6  34  6.57604e+07
6  35  5.14672e+07
6  36  6.09827e+07
6  37  8.33992e+07
6  38  7.05177e+07
6  39  6.56887e+07
6  40  7.25003e+07
6  41  6.5096e+07
6  42  6.72218e+07
6  43  5.55013e+07
6  44  7.37205e+07
6  45  5.94031e+07
6  46  5.55277e+07
6  47  5.30013e+07
6  48  6.49634e+07
6  49  5.77212e+07
6  50  5.85899e+07
6  51  7.28049e+07
6  52  6.46078e+07
6  53  8.1398e+07
6  54  8.3549e+07
6  55  7.78427e+07
6  56  7.3787e+07
6  57  6.48693e+07
6  58  6.01467e+07
6  59  5.0101e+07
6  60  5.29301e+07
6  61  2.94415e+07
6  62  3.86049e+07
6  63  2.64352e+07
6  64  4.14595e+07
6  65  4.11707e+07
6  66  4.72416e+07
6  67  5.25876e+07
6  68  4.2913e+07
6  69  5.08047e+07
6  70  4.79102e+07
6  71  5.17518e+07
6  72  5.27966e+07
6  73  6.67522e+07
6  74  6.89693e+07
6  75  6.85104e+07
6  76  3.44964e+07
6  77  4.058e+07
6  78  5.15867e+07
6  79  5.00966e+07
6  80  8.59834e+07
6  81  9.13756e+07
6  82  7.70144e+07
6  83  7.30096e+07
6  84  5.69331e+07
6  85  5.44537e+07
6  86  4.80907e+07
