row  column  (images_10_7176.edf P_K*images_10_7176.edf Ar_K**2.3)
7  76  815600
7  77  6.71768e+06
7  78  5.04934e+06
7  79  5.74082e+06
7  80  8.69578e+06
7  81  9.73229e+06
7  82  7.6272e+06
7  83  4.58346e+06
7  84  4.33308e+06
7  85  5.57266e+06
7  86  6.91107e+06
7  87  6.04429e+06
7  88  622389
7  89  0
7  90  0
7  91  0
7  92  0
7  93  0
7  94  0
7  95  0
7  96  0
7  97  0
7  98  5.21499e+06
7  99  0
7  100  0
8  0  0
8  1  0
8  2  0
8  3  0
8  4  0
8  5  0
8  6  0
8  7  0
8  8  0
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  0
8  26  0
8  27  0
8  28  0
8  29  0
8  30  0
8  31  0
8  32  187993
8  33  5.96183e+06
8  34  151586
8  35  7.00096e+06
8  36  0
8  37  6.42972e+06
8  38  1.01456e+07
8  39  5.71817e+06
8  40  1.03201e+07
8  41  7.55382e+06
8  42  6.01048e+06
8  43  3.02104e+06
8  44  2.27601e+06
8  45  3.30142e+06
8  46  5.29446e+06
8  47  9.85282e+06
8  48  7.95794e+06
8  49  1.21696e+07
8  50  3.3923e+06
8  51  8.25374e+06
8  52  1.02722e+07
8  53  1.34412e+07
8  54  8.87729e+06
8  55  5.2682e+06
8  56  6.44422e+06
8  57  4.04554e+06
8  58  7.66712e+06
8  59  7.92554e+06
8  60  5.28392e+06
8  61  9.22376e+06
8  62  4.96292e+06
8  63  7.55866e+06
8  64  9.13974e+06
8  65  1.04598e+07
8  66  7.43007e+06
8  67  2.41728e+06
8  68  4.97547e+06
8  69  1.89425e+06
8  70  4.89951e+06
8  71  4.10902e+06
8  72  0
8  73  2.99094e+06
8  74  5.56119e+06
8  75  641987
8  76  8.37991e+06
8  77  9.44506e+06
8  78  1.75934e+06
8  79  5.34342e+06
8  80  1.3455e+06
8  81  1.07989e+07
8  82  5.08964e+06
8  83  4.97064e+06
8  84  6.16625e+06
8  85  5.07391e+06
8  86  4.84305e+06
8  87  2.84186e+06
8  88  4.13585e+06
8  89  0
8  90  0
8  91  0
8  92  0
8  93  0
8  94  0
8  95  1.73663e+06
8  96  0
8  97  0
8  98  986477
8  99  0
8  100  0
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  0
9  7  0
9  8  0
9  9  0
9  10  0
9  11  0
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  0
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  0
9  27  0
9  28  0
9  29  0
9  30  0
9  31  0
9  32  7.51311e+06
9  33  2.43991e+06
9  34  4.27185e+06
9  35  1.40242e+06
9  36  2.44917e+06
9  37  3.63107e+06
9  38  1.06044e+07
9  39  8.4739e+06
9  40  9.45159e+06
9  41  1.12487e+06
9  42  8.54328e+06
9  43  750788
9  44  7.07608e+06
9  45  3.67219e+06
9  46  6.69141e+06
9  47  6.93082e+06
9  48  5.16993e+06
9  49  5.81718e+06
9  50  1.19657e+07
9  51  1.13064e+07
9  52  9.92298e+06
9  53  1.14208e+07
9  54  1.02627e+07
9  55  6.99766e+06
9  56  5.36904e+06
9  57  6.69182e+06
9  58  3.39381e+06
9  59  4.02809e+06
9  60  2.70457e+06
9  61  1.26525e+06
9  62  6.86117e+06
9  63  5.86944e+06
9  64  4.86587e+06
9  65  7.9305e+06
9  66  4.44702e+06
9  67  4.70749e+06
9  68  9.32292e+06
9  69  2.47137e+06
9  70  3.03271e+06
9  71  0
9  72  5.24609e+06
9  73  4.93325e+06
9  74  7.36357e+06
9  75  1.21256e+07
9  76  3.07796e+06
9  77  8.53939e+06
9  78  8.93905e+06
9  79  6.46315e+06
9  80  1.07695e+07
9  81  1.17652e+07
9  82  7.3104e+06
9  83  2.50458e+06
9  84  0
9  85  4.60016e+06
9  86  1.58388e+07
9  87  6.62727e+06
9  88  6.3934e+06
9  89  920546
9  90  0
9  91  0
9  92  0
9  93  0
9  94  0
9  95  0
9  96  0
9  97  0
9  98  0
9  99  1.59192e+06
9  100  0
10  0  0
10  1  0
10  2  0
10  3  0
10  4  0
10  5  0
10  6  0
10  7  0
10  8  0
10  9  0
10  10  0
10  11  0
10  12  0
10  13  0
10  14  0
10  15  0
10  16  0
10  17  0
10  18  0
10  19  0
10  20  0
10  21  0
10  22  0
10  23  0
10  24  0
10  25  0
10  26  0
10  27  0
10  28  0
10  29  0
10  30  0
10  31  0
10  32  3.90894e+06
10  33  0
10  34  3.26512e+06
10  35  0
10  36  6.62673e+06
10  37  8.23484e+06
10  38  1.10505e+07
10  39  6.06721e+06
10  40  3.81069e+06
10  41  5.0675e+06
10  42  1.42342e+07
10  43  6.08804e+06
10  44  3.16436e+06
10  45  4.20856e+06
10  46  8.26384e+06
10  47  9.69057e+06
10  48  1.04506e+07
10  49  9.59576e+06
10  50  1.11172e+07
10  51  1.05862e+07
10  52  1.23346e+07
10  53  7.20989e+06
10  54  1.19109e+07
10  55  1.00508e+07
10  56  4.41171e+06
10  57  5.15949e+06
10  58  1.00907e+07
10  59  6.28159e+06
10  60  8.65054e+06
10  61  6.67472e+06
10  62  6.63983e+06
10  63  1.47207e+06
10  64  4.79131e+06
10  65  6.79928e+06
10  66  1.29859e+07
10  67  2.68009e+06
10  68  2.86764e+06
10  69  2.50386e+06
10  70  0
10  71  9.17909e+06
10  72  7.00018e+06
10  73  1.19578e+07
10  74  1.14963e+07
10  75  6.0971e+06
10  76  7.36815e+06
10  77  0
10  78  1.59053e+07
10  79  7.2721e+06
10  80  9.25242e+06
10  81  7.89119e+06
10  82  1.42994e+07
10  83  4.9103e+06
10  84  6.46482e+06
10  85  1.09735e+07
10  86  1.06958e+07
10  87  5.89963e+06
10  88  3.34909e+06
10  89  399406
10  90  0
10  91  0
10  92  0
10  93  0
10  94  45445.7
10  95  0
10  96  0
10  97  0
10  98  950057
10  99  0
10  100  4.26785e+06
11  0  0
11  1  0
11  2  0
11  3  0
11  4  0
11  5  0
11  6  0
11  7  0
11  8  0
11  9  0
11  10  0
11  11  0
11  12  0
11  13  0
11  14  0
11  15  0
11  16  0
11  17  0
11  18  0
11  19  0
11  20  0
11  21  0
11  22  0
11  23  0
11  24  0
11  25  0
11  26  0
11  27  0
11  28  0
11  29  0
11  30  0
11  31  0
11  32  2.57113e+06
11  33  0
11  34  3.31496e+06
11  35  434939
11  36  998771
11  37  2.95557e+06
11  38  1.18032e+07
11  39  6.69831e+06
11  40  8.91135e+06
11  41  2.2037e+06
11  42  9.78184e+06
11  43  5.51736e+06
11  44  5.98366e+06
11  45  2.24329e+06
11  46  9.29858e+06
11  47  1.02881e+07
11  48  8.16797e+06
11  49  2.40801e+06
11  50  8.9425e+06
11  51  1.17503e+07
11  52  1.51704e+07
11  53  1.03126e+07
11  54  5.06605e+06
11  55  1.09302e+07
11  56  2.49763e+06
11  57  2.60296e+06
11  58  3.56198e+06
11  59  7.10884e+06
11  60  9.92248e+06
11  61  6.59142e+06
11  62  7.14657e+06
11  63  5.67836e+06
11  64  7.81033e+06
11  65  3.51642e+06
11  66  1.86374e+06
11  67  0
11  68  2.42743e+06
11  69  0
11  70  39308.7
11  71  8.34667e+06
11  72  5.55471e+06
11  73  0
11  74  6.49695e+06
11  75  1.22384e+07
11  76  4.97341e+06
11  77  3.8224e+06
11  78  1.29488e+07
11  79  8.99059e+06
11  80  7.28011e+06
11  81  9.19282e+06
11  82  9.95701e+06
11  83  8.13947e+06
11  84  1.18645e+07
11  85  5.27821e+06
11  86  9.75255e+06
11  87  5.13334e+06
11  88  3.40921e+06
11  89  6.39706e+06
11  90  980742
11  91  0
11  92  0
11  93  0
11  94  0
11  95  0
11  96  0
11  97  0
11  98  5.8125e+06
11  99  2.39606e+06
11  100  0
12  0  0
12  1  0
12  2  0
12  3  0
12  4  0
12  5  0
12  6  0
12  7  0
12  8  0
12  9  0
12  10  0
12  11  0
12  12  0
12  13  0
12  14  0
12  15  0
12  16  0
12  17  0
12  18  0
12  19  0
12  20  0
12  21  0
12  22  0
12  23  0
12  24  0
12  25  0
12  26  0
12  27  0
12  28  0
12  29  0
12  30  0
12  31  0
12  32  0
12  33  1.19671e+06
12  34  4.11626e+06
12  35  0
12  36  2.84335e+06
12  37  6.70658e+06
12  38  3.77144e+06
12  39  1.29747e+07
12  40  5.0768e+06
12  41  3.42087e+06
12  42  5.89917e+06
12  43  5.98268e+06
12  44  4.31208e+06
12  45  950463
12  46  5.76338e+06
12  47  9.88013e+06
12  48  4.40604e+06
12  49  8.71203e+06
12  50  8.92166e+06
12  51  1.00023e+07
12  52  9.09853e+06
12  53  1.34891e+07
12  54  1.38787e+07
12  55  5.19812e+06
12  56  3.61507e+06
12  57  2.75542e+06
12  58  2.60414e+06
12  59  7.16308e+06
12  60  9.63131e+06
12  61  7.6826e+06
12  62  8.08255e+06
12  63  4.50995e+06
12  64  1.06761e+07
12  65  4.92672e+06
12  66  6.50328e+06
12  67  4.74322e+06
12  68  2.73183e+06
12  69  2.16311e+06
12  70  0
12  71  3.71312e+06
12  72  5.32757e+06
12  73  6.52963e+06
12  74  2.94006e+06
12  75  1.75378e+06
12  76  9.34282e+06
12  77  9.92103e+06
12  78  9.68997e+06
12  79  9.25326e+06
12  80  8.29741e+06
12  81  3.93136e+06
12  82  1.11192e+07
12  83  7.23385e+06
12  84  1.38144e+07
12  85  8.32892e+06
12  86  1.20837e+07
12  87  5.70912e+06
12  88  5.90535e+06
12  89  4.23486e+06
12  90  5.1999e+06
12  91  380727
12  92  0
12  93  0
12  94  0
12  95  0
12  96  0
12  97  5.78249e+06
12  98  0
12  99  998182
12  100  1.90883e+06
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  0
13  6  0
13  7  0
13  8  0
13  9  0
13  10  0
13  11  0
13  12  0
13  13  0
13  14  0
13  15  0
13  16  0
13  17  0
13  18  0
13  19  0
13  20  0
13  21  0
13  22  0
13  23  0
13  24  0
13  25  0
13  26  0
13  27  0
13  28  0
13  29  0
13  30  0
13  31  0
13  32  0
13  33  261838
13  34  0
13  35  530408
13  36  3.61446e+06
13  37  0
13  38  6.72701e+06
13  39  6.99613e+06
13  40  3.73258e+06
13  41  1.33002e+06
13  42  7.42242e+06
13  43  5.93356e+06
13  44  6.87165e+06
13  45  5.07793e+06
13  46  1.02982e+06
13  47  3.64623e+06
13  48  6.12483e+06
13  49  1.9423e+06
13  50  1.18677e+07
13  51  1.00658e+07
13  52  1.46516e+07
13  53  3.18693e+06
13  54  1.33439e+07
13  55  5.65009e+06
13  56  1.16521e+07
13  57  5.04788e+06
13  58  4.47866e+06
13  59  1.32539e+07
13  60  7.42727e+06
13  61  1.71721e+06
13  62  1.23954e+07
13  63  1.06642e+07
13  64  1.19923e+07
13  65  7.39232e+06
13  66  8.59944e+06
13  67  5.71071e+06
13  68  4.91584e+06
13  69  2.89325e+06
13  70  2.23249e+06
13  71  1.69359e+06
13  72  8.31436e+06
13  73  6.89531e+06
13  74  1.94359e+06
13  75  5.85896e+06
13  76  6.68233e+06
13  77  1.05369e+07
13  78  8.39123e+06
13  79  6.00165e+06
13  80  7.69803e+06
13  81  1.00215e+07
13  82  9.31323e+06
13  83  6.82777e+06
13  84  6.58939e+06
13  85  6.93553e+06
13  86  0
13  87  8.34167e+06
13  88  5.37868e+06
13  89  1.44889e+07
13  90  0
13  91  0
13  92  588753
13  93  0
13  94  0
13  95  0
13  96  0
13  97  0
13  98  369997
13  99  0
13  100  0
14  0  0
14  1  0
14  2  0
14  3  0
14  4  0
14  5  0
14  6  0
14  7  0
14  8  0
14  9  0
14  10  0
14  11  0
14  12  0
14  13  0
14  14  0
14  15  0
14  16  0
14  17  0
14  18  0
14  19  0
14  20  0
14  21  0
14  22  0
14  23  0
14  24  0
14  25  0
14  26  0
14  27  0
14  28  0
14  29  0
14  30  0
14  31  0
14  32  0
14  33  0
14  34  0
14  35  0
14  36  0
14  37  1.29667e+06
14  38  0
14  39  4.29547e+06
14  40  2.13324e+06
14  41  4.06943e+06
14  42  0
14  43  3.95728e+06
14  44  3.10634e+06
14  45  268097
14  46  4.62817e+06
14  47  1.7436e+06
14  48  9.10585e+06
14  49  8.25314e+06
14  50  1.26272e+07
14  51  5.68031e+06
14  52  1.46658e+07
14  53  1.16732e+07
14  54  1.3947e+07
14  55  6.76083e+06
14  56  4.14e+06
14  57  8.24786e+06
14  58  5.88213e+06
14  59  6.24602e+06
14  60  1.11399e+07
14  61  8.021e+06
14  62  1.06401e+07
14  63  7.03768e+06
14  64  9.02865e+06
14  65  1.42551e+07
14  66  1.02253e+07
14  67  2.98958e+06
14  68  0
14  69  1.7625e+06
14  70  6.82583e+06
14  71  628342
14  72  7.56205e+06
14  73  5.71718e+06
14  74  2.93625e+06
14  75  8.78441e+06
14  76  3.70149e+06
14  77  5.60488e+06
14  78  6.70959e+06
14  79  8.24064e+06
14  80  7.53071e+06
14  81  1.13671e+07
14  82  7.18806e+06
14  83  7.94715e+06
14  84  1.09616e+07
14  85  7.87364e+06
14  86  5.94634e+06
14  87  1.861e+06
14  88  7.24993e+06
14  89  3.41195e+06
14  90  7.27672e+06
14  91  0
14  92  0
14  93  0
14  94  0
14  95  0
14  96  0
14  97  2.22469e+06
