row  column  (images_10_7176.edf S_K*images_10_7176.edf Ar_K**2.3)
3  61  2.30431e+07
3  62  2.74468e+07
3  63  2.38012e+07
3  64  1.44867e+07
3  65  1.1596e+07
3  66  2.26582e+07
3  67  1.20679e+07
3  68  2.76236e+07
3  69  1.85185e+07
3  70  2.1646e+07
3  71  1.98635e+07
3  72  2.30611e+07
3  73  2.84277e+07
3  74  2.27833e+07
3  75  2.15526e+07
3  76  1.87143e+07
3  77  1.72171e+07
3  78  1.95724e+07
3  79  2.50416e+07
3  80  1.82578e+07
3  81  3.62436e+07
3  82  3.62413e+07
3  83  1.8103e+07
3  84  2.45093e+07
3  85  1.83909e+07
3  86  2.06382e+07
3  87  2.32128e+07
3  88  2.3424e+07
3  89  3.78913e+07
3  90  2.61832e+07
3  91  3.02712e+07
3  92  3.37884e+07
3  93  3.91969e+07
3  94  3.78597e+07
3  95  3.66242e+07
3  96  1.9528e+07
3  97  2.99728e+07
3  98  4.33835e+07
3  99  3.83556e+07
3  100  3.56437e+07
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  0
4  28  0
4  29  0
4  30  1.70686e+07
4  31  1.14018e+07
4  32  1.83169e+07
4  33  2.79181e+07
4  34  2.6266e+07
4  35  1.70477e+07
4  36  2.17742e+07
4  37  2.4469e+07
4  38  2.05152e+07
4  39  2.14341e+07
4  40  1.95972e+07
4  41  1.3074e+07
4  42  2.15255e+07
4  43  1.97028e+07
4  44  1.65086e+07
4  45  1.88804e+07
4  46  1.08452e+07
4  47  2.7959e+07
4  48  2.42458e+07
4  49  2.37696e+07
4  50  2.37644e+07
4  51  2.49842e+07
4  52  2.46144e+07
4  53  2.85071e+07
4  54  2.69469e+07
4  55  2.86417e+07
4  56  2.68321e+07
4  57  2.14162e+07
4  58  3.15536e+07
4  59  2.5297e+07
4  60  2.0003e+07
4  61  1.57612e+07
4  62  1.82933e+07
4  63  1.38932e+07
4  64  2.72297e+07
4  65  2.59426e+07
4  66  1.99199e+07
4  67  2.92323e+07
4  68  1.65169e+07
4  69  2.22526e+07
4  70  1.219e+07
4  71  2.00073e+07
4  72  1.95278e+07
4  73  2.3675e+07
4  74  2.45585e+07
4  75  2.08596e+07
4  76  1.56225e+07
4  77  2.18289e+07
4  78  2.39456e+07
4  79  1.9075e+07
4  80  1.40921e+07
4  81  3.81505e+07
4  82  3.42523e+07
4  83  2.67992e+07
4  84  2.76419e+07
4  85  2.43171e+07
4  86  4.68289e+07
4  87  2.33989e+07
4  88  1.40547e+07
4  89  2.86982e+07
4  90  2.99608e+07
4  91  2.80511e+07
4  92  4.16777e+07
4  93  3.1649e+07
4  94  2.36113e+07
4  95  2.24634e+07
4  96  1.04485e+07
4  97  2.8457e+07
4  98  3.51242e+07
4  99  3.55888e+07
4  100  3.90885e+07
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  7.10486e+06
5  30  3.88562e+06
5  31  1.9144e+07
