row  column  (image_36_a.edf Cu-K*image_36_a.edf Ar-K**2.3)
35  14  0
35  15  0
35  16  0
35  17  6.68791e+06
35  18  0
35  19  0
35  20  0
35  21  8.59134e+06
35  22  0
35  23  8.15191e+06
35  24  2.24774e+06
35  25  2.05476e+07
35  26  0
35  27  8.97938e+06
35  28  0
35  29  0
35  30  0
36  0  930478
36  1  0
36  2  0
36  3  0
36  4  1.41306e+06
36  5  0
36  6  0
36  7  0
36  8  0
36  9  0
36  10  0
36  11  0
36  12  0
36  13  0
36  14  0
36  15  0
36  16  0
36  17  0
36  18  0
36  19  0
36  20  1.26763e+07
36  21  0
36  22  0
36  23  0
36  24  0
36  25  1.88975e+07
36  26  0
36  27  0
36  28  0
36  29  3.02208e+06
36  30  0
37  0  0
37  1  2.11488e+07
37  2  0
37  3  1.21041e+06
37  4  0
37  5  0
37  6  0
37  7  0
37  8  7.63546e+06
37  9  0
37  10  3.35007e+06
37  11  0
37  12  0
37  13  0
37  14  1.29175e+07
37  15  0
37  16  0
37  17  2.79868e+06
37  18  0
37  19  0
37  20  0
37  21  0
37  22  0
37  23  0
37  24  0
37  25  0
37  26  0
37  27  0
37  28  3.42763e+06
37  29  3.93485e+06
37  30  0
38  0  0
38  1  0
38  2  0
38  3  0
38  4  0
38  5  0
38  6  7.43336e+06
38  7  7.93502e+06
38  8  0
38  9  0
38  10  0
38  11  0
38  12  1.53413e+07
38  13  0
38  14  0
38  15  0
38  16  0
38  17  0
38  18  0
38  19  0
38  20  3.07959e+07
38  21  0
38  22  0
38  23  0
38  24  1.87546e+07
38  25  0
38  26  0
38  27  0
38  28  0
38  29  0
38  30  0
39  0  3.75446e+07
39  1  0
39  2  0
39  3  0
39  4  0
39  5  0
39  6  0
39  7  6.5307e+06
39  8  0
39  9  0
39  10  0
39  11  0
39  12  0
39  13  0
39  14  9.1592e+06
39  15  0
39  16  8.70674e+06
39  17  0
39  18  0
39  19  1.45964e+07
39  20  0
39  21  2.92061e+07
39  22  0
39  23  0
39  24  0
39  25  2.9812e+07
39  26  6.17252e+06
39  27  0
39  28  0
39  29  3.03447e+07
39  30  6.78808e+06
40  0  0
40  1  0
40  2  0
40  3  0
40  4  0
40  5  0
40  6  0
40  7  2.24002e+07
40  8  0
40  9  0
40  10  0
40  11  0
40  12  0
40  13  0
40  14  0
40  15  0
40  16  3.30167e+06
40  17  0
40  18  0
40  19  0
40  20  5.83361e+06
40  21  0
40  22  0
40  23  0
40  24  2.34375e+07
40  25  0
40  26  0
40  27  0
40  28  0
40  29  1.66138e+07
40  30  1.86564e+07
41  0  0
41  1  1.61173e+07
41  2  1.4216e+07
41  3  0
41  4  0
41  5  0
41  6  6.49447e+06
41  7  0
41  8  0
41  9  1.42579e+07
41  10  0
41  11  0
41  12  0
41  13  3.95623e+07
41  14  1.65974e+07
41  15  0
41  16  0
41  17  0
41  18  0
41  19  0
41  20  0
41  21  0
41  22  0
41  23  0
41  24  0
41  25  0
41  26  1.15613e+07
41  27  0
41  28  0
41  29  0
41  30  0
42  0  0
42  1  0
42  2  0
42  3  0
42  4  0
42  5  0
42  6  0
42  7  0
42  8  0
42  9  0
42  10  0
42  11  0
42  12  0
42  13  0
42  14  660326
42  15  0
42  16  0
42  17  8.42571e+06
42  18  4.36666e+07
42  19  0
42  20  0
42  21  0
42  22  1.06338e+07
42  23  0
42  24  0
42  25  0
42  26  677859
42  27  0
42  28  0
42  29  0
42  30  1.73825e+07
43  0  2.82024e+07
43  1  0
43  2  0
43  3  8.97974e+06
43  4  5.84662e+06
43  5  0
43  6  4.69987e+07
43  7  0
43  8  0
43  9  0
43  10  935884
43  11  1.71405e+07
43  12  0
43  13  0
43  14  0
