row  column  (image_36_a.edf S-K*image_36_a.edf Ar-K**2.3)
18  30  0
19  0  1.86019e+07
19  1  4.43112e+07
19  2  0
19  3  2.46734e+07
19  4  4.762e+07
19  5  4.4065e+07
19  6  5.04881e+07
19  7  6.03429e+07
19  8  4.38385e+07
19  9  8.06268e+07
19  10  6.31346e+07
19  11  9.51277e+07
19  12  7.76091e+07
19  13  5.48168e+07
19  14  5.93446e+07
19  15  5.24366e+07
19  16  0
19  17  6.21048e+07
19  18  6.36437e+07
19  19  9.01636e+07
19  20  5.42562e+07
19  21  0
19  22  4.63192e+07
19  23  0
19  24  0
19  25  0
19  26  0
19  27  0
19  28  2.16436e+07
19  29  0
19  30  0
20  0  3.89714e+07
20  1  2.95522e+07
20  2  0
20  3  0
20  4  1.94689e+07
20  5  3.88231e+07
20  6  7.63371e+07
20  7  7.07638e+07
20  8  7.2606e+07
20  9  4.75668e+07
20  10  5.56695e+07
20  11  7.42766e+07
20  12  6.72587e+07
20  13  5.58802e+07
20  14  9.70033e+07
20  15  6.56951e+07
20  16  7.08432e+07
20  17  4.34855e+07
20  18  8.38194e+07
20  19  9.24804e+07
20  20  7.47867e+07
20  21  0
20  22  0
20  23  4.22518e+07
20  24  0
20  25  0
20  26  0
20  27  0
20  28  0
20  29  0
20  30  0
21  0  5.23313e+07
21  1  1.48592e+07
21  2  3.78846e+07
21  3  4.05496e+07
21  4  3.53301e+07
21  5  4.30123e+07
21  6  4.97596e+07
21  7  5.91186e+07
21  8  3.50352e+07
21  9  5.08407e+07
21  10  4.73899e+07
21  11  6.31494e+07
21  12  6.50158e+07
21  13  4.85994e+07
21  14  5.81832e+07
21  15  6.4293e+07
21  16  3.54747e+07
21  17  5.56869e+07
21  18  9.7924e+07
21  19  8.5901e+07
21  20  6.71328e+07
21  21  4.90939e+07
21  22  2.92485e+07
21  23  0
21  24  0
21  25  0
21  26  0
21  27  0
21  28  0
21  29  0
21  30  0
22  0  5.51205e+07
22  1  0
22  2  5.27982e+07
22  3  0
22  4  3.07777e+07
22  5  5.29659e+07
22  6  2.35474e+07
22  7  7.83035e+07
22  8  4.46604e+07
22  9  4.06769e+07
22  10  5.22101e+07
22  11  7.87204e+07
22  12  8.53357e+07
22  13  6.58261e+07
22  14  7.09008e+07
22  15  7.24799e+07
