row  column  (image_36_a.edf Mn-K*image_36_a.edf Ar-K**2.3)
11  21  5.47384e+07
11  22  8.41676e+07
11  23  6.94589e+07
11  24  9.24189e+07
11  25  5.56877e+07
11  26  8.88934e+07
11  27  6.31508e+07
11  28  7.72747e+07
11  29  9.43783e+07
11  30  6.92773e+07
12  0  7.52305e+07
12  1  6.41789e+07
12  2  3.5528e+07
12  3  7.16804e+07
12  4  7.85567e+07
12  5  9.24085e+07
12  6  3.12807e+07
12  7  4.56661e+07
12  8  9.15769e+07
12  9  6.39202e+07
12  10  7.84266e+07
12  11  7.55747e+07
12  12  5.75184e+07
12  13  7.47485e+07
12  14  4.97771e+07
12  15  7.18021e+07
12  16  1.90195e+07
12  17  8.37411e+07
12  18  5.87102e+07
12  19  8.14795e+07
12  20  8.7213e+07
12  21  3.53372e+07
12  22  5.32742e+07
12  23  7.86011e+07
12  24  8.1955e+07
12  25  9.90526e+07
12  26  7.14837e+07
12  27  7.20887e+07
12  28  8.10938e+07
12  29  6.33007e+07
12  30  5.58065e+07
13  0  7.25528e+07
13  1  8.005e+07
13  2  7.52625e+07
13  3  7.93646e+07
13  4  9.82871e+07
13  5  5.58317e+07
13  6  6.21218e+07
13  7  9.49469e+07
13  8  8.95013e+07
13  9  6.75587e+07
13  10  8.23198e+07
13  11  6.451e+07
13  12  6.44365e+07
13  13  6.06798e+07
13  14  4.0954e+07
13  15  6.2229e+07
13  16  8.21734e+07
13  17  4.73448e+07
13  18  5.87704e+07
13  19  8.00697e+07
13  20  9.19599e+07
13  21  7.47109e+07
13  22  5.58265e+07
13  23  8.88577e+07
13  24  6.9389e+07
13  25  7.81247e+07
13  26  5.76136e+07
13  27  8.16936e+07
13  28  6.33648e+07
13  29  7.20449e+07
13  30  8.50387e+07
14  0  5.87337e+07
14  1  9.2296e+07
14  2  5.92361e+07
14  3  5.70321e+07
14  4  9.9471e+07
14  5  6.30511e+07
14  6  8.5801e+07
14  7  5.27325e+07
14  8  6.88101e+07
14  9  5.06162e+07
14  10  6.6557e+07
14  11  7.39053e+07
14  12  1.00207e+08
14  13  5.22422e+07
14  14  5.42487e+07
14  15  8.03261e+07
14  16  6.23685e+07
14  17  6.48217e+07
14  18  8.55353e+07
14  19  1.16291e+08
14  20  6.45196e+07
14  21  5.13704e+07
14  22  5.78053e+07
14  23  6.61656e+07
14  24  6.44923e+07
14  25  3.70187e+07
14  26  5.47936e+07
14  27  4.74382e+07
14  28  5.03854e+07
14  29  6.70568e+07
14  30  8.53556e+07
15  0  8.44734e+07
15  1  8.94179e+07
15  2  5.83259e+07
15  3  5.8482e+07
15  4  5.86589e+07
15  5  5.04305e+07
15  6  6.91125e+07
15  7  5.9827e+07
15  8  5.03537e+07
15  9  9.98527e+07
15  10  8.6882e+07
15  11  8.25793e+07
15  12  4.41798e+07
15  13  6.9449e+07
15  14  4.58692e+07
15  15  5.74929e+07
15  16  6.16244e+07
15  17  7.22756e+07
15  18  5.74489e+07
15  19  6.70282e+07
15  20  6.13171e+07
15  21  9.40675e+07
15  22  9.05658e+07
15  23  1.04425e+08
15  24  6.13464e+07
15  25  4.83001e+07
15  26  9.3012e+07
15  27  1.04578e+08
15  28  6.02965e+07
15  29  2.69171e+07
15  30  7.69375e+07
16  0  5.69916e+07
16  1  8.07802e+07
16  2  9.60287e+07
16  3  6.01165e+07
16  4  6.10002e+07
16  5  6.75038e+07
16  6  7.11612e+07
16  7  5.98363e+07
16  8  6.13318e+07
16  9  9.46208e+07
16  10  6.59153e+07
16  11  7.88079e+07
16  12  8.8594e+07
16  13  7.55156e+07
16  14  8.12911e+07
16  15  5.92039e+07
16  16  7.24849e+07
16  17  7.76488e+07
16  18  5.40819e+07
16  19  5.35443e+07
16  20  8.33178e+07
16  21  6.42904e+07
16  22  7.60921e+07
16  23  7.04653e+07
16  24  5.73035e+07
16  25  6.59171e+07
16  26  9.37511e+07
16  27  7.95679e+07
16  28  1.30074e+08
16  29  8.45492e+07
16  30  5.12635e+07
17  0  5.66669e+07
17  1  5.1862e+07
17  2  7.45234e+07
17  3  6.54789e+07
17  4  8.27183e+07
17  5  5.62759e+07
17  6  1.04186e+08
17  7  6.61657e+07
17  8  7.58759e+07
17  9  7.12103e+07
17  10  9.34437e+07
17  11  9.18201e+07
17  12  7.78412e+07
17  13  4.533e+07
17  14  8.84841e+07
17  15  1.00285e+08
17  16  8.953e+07
17  17  7.83743e+07
17  18  4.99197e+07
17  19  9.9378e+07
17  20  6.23403e+07
17  21  8.05064e+07
17  22  7.80734e+07
17  23  8.23204e+07
17  24  9.54792e+07
17  25  8.79676e+07
17  26  5.43944e+07
17  27  4.89467e+07
17  28  6.66543e+07
17  29  5.83814e+07
17  30  3.60444e+07
18  0  6.96768e+07
18  1  6.43115e+07
18  2  8.58957e+07
18  3  4.49669e+07
18  4  8.52864e+07
18  5  1.01282e+08
18  6  4.45357e+07
18  7  6.80626e+07
18  8  4.84627e+07
18  9  4.27827e+07
18  10  4.86729e+07
18  11  7.13528e+07
18  12  9.57819e+07
18  13  5.44952e+07
18  14  7.48898e+07
18  15  6.7553e+07
18  16  7.3939e+07
18  17  4.29928e+07
18  18  6.82643e+07
18  19  6.08278e+07
18  20  9.0712e+07
18  21  5.87432e+07
18  22  7.52015e+07
18  23  4.85266e+07
18  24  4.29504e+07
18  25  5.89346e+07
18  26  8.17264e+07
18  27  6.3001e+07
18  28  8.02241e+07
18  29  5.58269e+07
18  30  7.53103e+07
19  0  6.11806e+07
19  1  5.63673e+07
19  2  1.04248e+08
19  3  6.44425e+07
19  4  1.05266e+08
19  5  8.43926e+07
19  6  8.48763e+07
19  7  8.00964e+07
19  8  5.73074e+07
19  9  7.7905e+07
19  10  7.5945e+07
19  11  8.95617e+07
19  12  7.0344e+07
19  13  6.62209e+07
19  14  5.54468e+07
19  15  8.54018e+07
19  16  6.49479e+07
19  17  5.60921e+07
19  18  6.51538e+07
19  19  4.51925e+07
19  20  7.78962e+07
19  21  8.35826e+07
19  22  6.2774e+07
19  23  3.69254e+07
19  24  6.36415e+07
19  25  9.67683e+07
19  26  5.21851e+07
19  27  5.50697e+07
19  28  5.40403e+07
19  29  4.4601e+07
19  30  8.30349e+07
20  0  8.51787e+07
20  1  1.15194e+08
20  2  6.63202e+07
20  3  7.08735e+07
20  4  7.08238e+07
20  5  5.74853e+07
20  6  4.59799e+07
20  7  6.55173e+07
20  8  1.04998e+08
20  9  6.75893e+07
20  10  4.15489e+07
20  11  7.58032e+07
20  12  8.17181e+07
20  13  8.91598e+07
20  14  9.68223e+07
20  15  8.89126e+07
20  16  7.5307e+07
20  17  7.91048e+07
20  18  5.96298e+07
20  19  2.28532e+07
20  20  3.87916e+07
20  21  7.22392e+07
20  22  9.25503e+07
20  23  7.91452e+07
20  24  9.5373e+07
20  25  2.49482e+07
20  26  6.36462e+07
20  27  7.77646e+07
20  28  7.9406e+07
20  29  2.32837e+07
20  30  7.94775e+07
21  0  6.61949e+07
21  1  7.53926e+07
21  2  7.49127e+07
21  3  7.29017e+07
21  4  6.5635e+07
21  5  6.23379e+07
21  6  6.79417e+07
21  7  1.05709e+08
21  8  7.28626e+07
21  9  7.05595e+07
21  10  7.19783e+07
21  11  5.96314e+07
21  12  7.25473e+07
21  13  8.04953e+07
21  14  9.89201e+07
21  15  8.60604e+07
21  16  2.83157e+07
21  17  7.12415e+07
21  18  7.40148e+07
21  19  5.55399e+07
21  20  9.60964e+07
21  21  5.28275e+07
21  22  6.68252e+07
21  23  9.00195e+07
21  24  5.59735e+07
21  25  8.66719e+07
21  26  4.48853e+07
21  27  4.43259e+07
21  28  1.05365e+08
21  29  9.15544e+07
21  30  4.70425e+07
22  0  5.85513e+07
22  1  7.28538e+07
22  2  6.14965e+07
22  3  8.1806e+07
22  4  3.22667e+07
22  5  6.4851e+07
22  6  6.6311e+07
22  7  6.45912e+07
22  8  8.3818e+07
22  9  5.41663e+07
22  10  8.31551e+07
22  11  3.25235e+07
22  12  5.38582e+07
22  13  6.10643e+07
22  14  9.4049e+07
22  15  7.78745e+07
22  16  4.6224e+07
22  17  6.30587e+07
22  18  1.17429e+08
22  19  5.39034e+07
22  20  4.94902e+07
22  21  5.7955e+07
22  22  5.74056e+07
22  23  6.31437e+07
22  24  8.63733e+07
22  25  8.06585e+07
22  26  7.14353e+07
22  27  8.97281e+07
22  28  6.03738e+07
22  29  7.48221e+07
22  30  2.52135e+07
23  0  6.77701e+07
23  1  8.70522e+07
23  2  6.34703e+07
23  3  7.03265e+07
23  4  5.63882e+07
23  5  7.31746e+07
23  6  5.84544e+07
23  7  9.84642e+07
23  8  8.11799e+07
23  9  6.07751e+07
23  10  6.54791e+07
23  11  8.78868e+07
23  12  5.32331e+07
23  13  6.32059e+07
23  14  6.2926e+07
23  15  6.39659e+07
23  16  7.04405e+07
23  17  7.21256e+07
23  18  6.71759e+07
23  19  2.44439e+07
23  20  8.34843e+07
23  21  5.34552e+07
23  22  7.63828e+07
23  23  1.1797e+08
23  24  4.06098e+07
23  25  8.12806e+07
23  26  1.11924e+08
23  27  7.4812e+07
23  28  6.16539e+07
23  29  6.29871e+07
23  30  7.85486e+07
24  0  4.60788e+07
24  1  7.23058e+07
24  2  5.20347e+07
24  3  9.93911e+07
24  4  7.19149e+07
24  5  8.66294e+07
24  6  8.97827e+07
24  7  5.58978e+07
24  8  9.15096e+07
24  9  8.88187e+07
24  10  9.0251e+07
24  11  7.22465e+07
24  12  1.25661e+08
24  13  6.69758e+07
24  14  5.30305e+07
24  15  6.32255e+07
24  16  1.00671e+08
24  17  4.52399e+07
24  18  6.43694e+07
24  19  4.82218e+07
24  20  6.53335e+07
24  21  9.4514e+07
24  22  7.48189e+07
24  23  6.31411e+07
24  24  5.05798e+07
24  25  4.4557e+07
24  26  8.76953e+07
24  27  8.48795e+07
24  28  5.92516e+07
24  29  6.53393e+07
24  30  4.90783e+07
25  0  6.981e+07
25  1  9.43465e+07
25  2  7.49582e+07
25  3  6.4964e+07
25  4  4.69703e+07
25  5  6.27485e+07
25  6  5.03523e+07
25  7  7.24488e+07
25  8  6.79075e+07
25  9  1.15174e+08
25  10  4.83568e+07
25  11  4.5164e+07
25  12  5.87577e+07
25  13  9.64571e+07
25  14  6.47549e+07
25  15  8.99378e+07
25  16  1.22785e+08
25  17  6.84899e+07
25  18  8.55477e+07
25  19  7.48784e+07
25  20  7.89183e+07
25  21  7.98739e+07
25  22  5.46506e+07
25  23  8.19067e+07
25  24  6.07114e+07
25  25  7.87675e+07
25  26  7.71781e+07
25  27  7.66533e+07
25  28  6.78607e+07
25  29  6.30571e+07
25  30  7.85826e+07
26  0  7.14742e+07
26  1  5.50753e+07
26  2  6.34863e+07
26  3  8.94463e+07
26  4  6.71197e+07
26  5  7.60856e+07
26  6  6.31197e+07
26  7  4.75047e+07
26  8  7.7908e+07
