row  column  (image_36_a.edf Fe-K*image_36_a.edf Ar-K**2.3)
12  19  1.79279e+08
12  20  2.16377e+08
12  21  2.16484e+08
12  22  2.19909e+08
12  23  1.92431e+08
12  24  2.03345e+08
12  25  2.21779e+08
12  26  1.82183e+08
12  27  2.39989e+08
12  28  3.26957e+08
12  29  4.22596e+08
12  30  2.60072e+08
13  0  1.81041e+08
13  1  2.15783e+08
13  2  1.78585e+08
13  3  1.66841e+08
13  4  2.38908e+08
13  5  1.87379e+08
13  6  2.11713e+08
13  7  1.92449e+08
13  8  1.82456e+08
13  9  1.97426e+08
13  10  1.67053e+08
13  11  1.95915e+08
13  12  1.9664e+08
13  13  2.40733e+08
13  14  1.84439e+08
13  15  1.79114e+08
13  16  1.8888e+08
13  17  1.86194e+08
13  18  2.11838e+08
13  19  1.87209e+08
13  20  2.05044e+08
13  21  2.32059e+08
13  22  2.19181e+08
13  23  1.62352e+08
13  24  1.96182e+08
13  25  2.11274e+08
13  26  2.36481e+08
13  27  2.41132e+08
13  28  3.78629e+08
13  29  5.3861e+08
13  30  2.58391e+08
14  0  2.1745e+08
14  1  1.96272e+08
14  2  2.27682e+08
14  3  1.73868e+08
14  4  2.15912e+08
14  5  2.01807e+08
14  6  1.59571e+08
14  7  1.68923e+08
14  8  2.23344e+08
14  9  1.90309e+08
14  10  2.26441e+08
14  11  1.83639e+08
14  12  2.14227e+08
14  13  2.83925e+08
14  14  2.43128e+08
14  15  2.30198e+08
14  16  1.93504e+08
14  17  2.07588e+08
14  18  1.85714e+08
14  19  2.60149e+08
14  20  2.31169e+08
14  21  2.29614e+08
14  22  2.26219e+08
14  23  2.18672e+08
14  24  2.20309e+08
14  25  1.80046e+08
14  26  1.90024e+08
14  27  2.1418e+08
14  28  4.24708e+08
14  29  6.51857e+08
14  30  3.00619e+08
15  0  2.61469e+08
15  1  1.89974e+08
15  2  2.30055e+08
15  3  1.89097e+08
15  4  1.79588e+08
15  5  1.89075e+08
15  6  1.96989e+08
15  7  2.11957e+08
15  8  2.13661e+08
15  9  2.56992e+08
15  10  2.16937e+08
15  11  1.89913e+08
15  12  2.05649e+08
15  13  3.22095e+08
15  14  2.02039e+08
15  15  2.36087e+08
15  16  1.99582e+08
15  17  2.27772e+08
15  18  2.19961e+08
15  19  2.30906e+08
15  20  2.74485e+08
15  21  2.24453e+08
15  22  1.95772e+08
15  23  1.81883e+08
15  24  2.26744e+08
15  25  1.87865e+08
15  26  2.61319e+08
15  27  2.55759e+08
15  28  4.118e+08
15  29  4.90663e+08
15  30  3.16287e+08
16  0  2.22775e+08
16  1  1.93183e+08
16  2  2.04073e+08
16  3  2.01894e+08
16  4  1.86403e+08
16  5  1.78563e+08
16  6  1.95411e+08
16  7  2.11973e+08
16  8  2.13234e+08
16  9  2.40314e+08
16  10  2.1638e+08
16  11  1.98724e+08
16  12  2.27859e+08
16  13  2.19973e+08
16  14  2.0241e+08
16  15  2.26829e+08
16  16  2.29838e+08
16  17  2.48063e+08
16  18  2.43965e+08
16  19  1.8217e+08
16  20  2.18624e+08
16  21  1.75894e+08
16  22  2.15547e+08
16  23  2.45606e+08
16  24  2.12273e+08
16  25  2.3625e+08
16  26  2.07817e+08
16  27  2.66919e+08
16  28  2.85499e+08
16  29  3.85589e+08
16  30  3.2449e+08
17  0  2.1745e+08
17  1  2.09386e+08
17  2  1.94359e+08
17  3  2.20742e+08
17  4  1.72602e+08
17  5  2.16564e+08
17  6  1.95315e+08
17  7  2.53908e+08
17  8  1.90473e+08
17  9  2.36239e+08
17  10  2.33465e+08
17  11  2.31067e+08
17  12  2.75529e+08
17  13  2.24769e+08
17  14  1.91464e+08
17  15  2.48134e+08
17  16  2.20127e+08
17  17  2.48782e+08
17  18  1.90855e+08
17  19  2.76669e+08
17  20  2.15121e+08
17  21  2.18154e+08
