row  column  (image_36_a.edf Zn-K*image_36_a.edf Ar-K**2.3)
19  5  1.93365e+08
19  6  2.30347e+08
19  7  1.94122e+08
19  8  2.09827e+08
19  9  1.39227e+08
19  10  2.28205e+08
19  11  1.71086e+08
19  12  2.27702e+08
19  13  1.71081e+08
19  14  1.97697e+08
19  15  1.48451e+08
19  16  1.34201e+08
19  17  1.79664e+08
19  18  3.52452e+08
19  19  2.92533e+08
19  20  2.39692e+08
19  21  1.46012e+08
19  22  2.839e+08
19  23  2.66664e+08
19  24  2.71279e+08
19  25  9.88203e+07
19  26  1.10986e+08
19  27  9.4676e+07
19  28  1.75092e+08
19  29  2.23815e+08
19  30  2.3513e+08
20  0  2.19281e+08
20  1  1.54014e+08
20  2  2.10574e+08
20  3  1.87829e+08
20  4  1.69809e+08
20  5  2.56218e+08
20  6  2.0024e+08
20  7  1.96155e+08
20  8  1.64687e+08
20  9  1.54447e+08
20  10  1.81639e+08
20  11  1.76317e+08
20  12  2.04227e+08
20  13  1.75549e+08
20  14  1.4695e+08
20  15  1.13423e+08
20  16  1.54879e+08
20  17  1.11301e+08
20  18  2.05934e+08
20  19  3.30261e+08
20  20  2.19817e+08
20  21  1.55287e+08
20  22  1.96492e+08
20  23  2.84389e+08
20  24  2.5534e+08
20  25  1.87363e+08
20  26  1.08207e+08
20  27  1.34791e+08
20  28  1.85125e+08
20  29  2.07299e+08
20  30  1.83387e+08
21  0  2.70886e+08
21  1  1.70588e+08
21  2  2.53301e+08
21  3  1.95623e+08
21  4  1.48607e+08
21  5  1.76319e+08
21  6  2.19521e+08
21  7  1.74635e+08
21  8  1.87122e+08
21  9  1.81395e+08
21  10  1.66831e+08
21  11  1.68862e+08
21  12  1.19786e+08
21  13  1.65842e+08
21  14  1.51187e+08
21  15  1.41229e+08
21  16  1.81932e+08
21  17  2.00933e+08
21  18  2.41279e+08
21  19  2.97982e+08
21  20  2.15619e+08
21  21  1.2712e+08
21  22  1.35205e+08
21  23  2.64241e+08
21  24  2.42193e+08
21  25  1.18474e+08
21  26  1.18453e+08
21  27  1.29513e+08
21  28  1.84612e+08
21  29  2.00362e+08
21  30  2.20354e+08
22  0  2.36983e+08
22  1  1.723e+08
22  2  2.21094e+08
22  3  1.40929e+08
22  4  1.80144e+08
22  5  2.21363e+08
22  6  2.11411e+08
22  7  2.04745e+08
22  8  1.17207e+08
22  9  1.29892e+08
22  10  1.75347e+08
22  11  1.80212e+08
22  12  1.90197e+08
22  13  1.40356e+08
22  14  1.68761e+08
22  15  1.30939e+08
22  16  2.14313e+08
22  17  2.21125e+08
22  18  1.69527e+08
22  19  2.8072e+08
22  20  1.75435e+08
22  21  1.60795e+08
22  22  2.02498e+08
22  23  2.11597e+08
22  24  1.97677e+08
22  25  1.12704e+08
22  26  8.16881e+07
22  27  1.20025e+08
22  28  1.30525e+08
22  29  2.03071e+08
22  30  1.84823e+08
23  0  1.99363e+08
23  1  1.63292e+08
23  2  2.0871e+08
23  3  1.80668e+08
23  4  1.67407e+08
23  5  1.94331e+08
23  6  1.75675e+08
23  7  1.50798e+08
23  8  1.51535e+08
23  9  1.67952e+08
23  10  1.27977e+08
23  11  1.92352e+08
23  12  1.6869e+08
23  13  8.1942e+07
23  14  1.18463e+08
23  15  1.5216e+08
23  16  2.10641e+08
23  17  1.36431e+08
23  18  2.01706e+08
23  19  2.30598e+08
23  20  1.71459e+08
23  21  1.21105e+08
23  22  2.24673e+08
23  23  2.16755e+08
23  24  2.80215e+08
23  25  1.63062e+08
23  26  8.81105e+07
23  27  9.87615e+07
23  28  1.35897e+08
23  29  2.15232e+08
23  30  2.07303e+08
24  0  2.06914e+08
24  1  2.16386e+08
24  2  2.31047e+08
24  3  2.07376e+08
24  4  2.03316e+08
24  5  1.71372e+08
24  6  2.18627e+08
24  7  1.72431e+08
24  8  1.71554e+08
24  9  1.42525e+08
24  10  1.69633e+08
24  11  1.47959e+08
24  12  2.03403e+08
24  13  1.24587e+08
24  14  1.48709e+08
24  15  1.66428e+08
24  16  1.85685e+08
24  17  1.2728e+08
24  18  1.66897e+08
24  19  1.99093e+08
24  20  1.39226e+08
24  21  1.10398e+08
24  22  1.40252e+08
24  23  1.78168e+08
24  24  1.84079e+08
24  25  1.84537e+08
24  26  7.54631e+07
24  27  1.52851e+08
24  28  1.2519e+08
24  29  1.2435e+08
24  30  1.54269e+08
