row  column  (images_2.edf Fe-K*images_2.edf Ar-K**2.3)
2  86  1.21401e+08
2  87  1.77027e+08
2  88  2.15763e+08
2  89  3.94588e+08
2  90  6.80868e+08
2  91  3.43178e+08
2  92  1.52536e+08
2  93  1.16011e+08
2  94  9.49798e+07
2  95  1.22635e+08
2  96  1.11913e+08
2  97  9.90592e+07
2  98  8.59412e+07
2  99  9.14378e+07
2  100  9.60474e+07
3  0  5.74227e+07
3  1  4.20241e+07
3  2  3.66351e+07
3  3  4.266e+07
3  4  4.66309e+07
3  5  3.00444e+07
3  6  4.04974e+07
3  7  6.45528e+07
3  8  4.64188e+07
3  9  5.00484e+07
3  10  4.93767e+07
3  11  3.87332e+07
3  12  3.46234e+07
3  13  3.45005e+07
3  14  4.19846e+07
3  15  3.44445e+07
3  16  3.30783e+07
3  17  4.6641e+07
3  18  6.43286e+07
3  19  3.79544e+07
3  20  3.95191e+07
3  21  3.93776e+07
3  22  4.87598e+07
3  23  2.51464e+07
3  24  3.00789e+07
3  25  3.90943e+07
3  26  2.42657e+07
3  27  3.77421e+07
3  28  3.54486e+07
3  29  3.8472e+07
3  30  4.02684e+07
3  31  3.81328e+07
3  32  3.0537e+07
3  33  1.84881e+07
3  34  2.3812e+07
3  35  1.65826e+07
3  36  0
3  37  0
3  38  0
3  39  0
3  40  0
3  41  0
3  42  0
3  43  0
3  44  2.32392e+07
3  45  1.12128e+08
3  46  5.71742e+07
3  47  1.14347e+08
3  48  1.31577e+08
3  49  1.21106e+08
3  50  1.01509e+08
3  51  1.37541e+08
3  52  1.37945e+08
3  53  1.81147e+08
3  54  1.92266e+08
3  55  2.70959e+08
3  56  2.56838e+08
3  57  2.2009e+08
3  58  1.95006e+08
3  59  2.17872e+08
3  60  2.15515e+08
3  61  1.76831e+08
3  62  1.63927e+08
3  63  1.5238e+08
3  64  1.70722e+08
3  65  1.58849e+08
3  66  1.72186e+08
3  67  1.77868e+08
3  68  1.57831e+08
3  69  1.86425e+08
3  70  1.65301e+08
3  71  1.77053e+08
3  72  1.93849e+08
3  73  1.42155e+08
3  74  1.29208e+08
3  75  1.61292e+08
3  76  1.20228e+08
3  77  1.25903e+08
3  78  1.71471e+08
3  79  1.51643e+08
3  80  1.15307e+08
3  81  1.34999e+08
3  82  1.32918e+08
3  83  1.45054e+08
3  84  1.56045e+08
3  85  1.14933e+08
3  86  1.53947e+08
3  87  1.57672e+08
3  88  1.95872e+08
3  89  4.05664e+08
3  90  5.19689e+08
3  91  3.04469e+08
3  92  1.60137e+08
3  93  1.19628e+08
3  94  1.06969e+08
3  95  9.50086e+07
3  96  9.5454e+07
3  97  1.01663e+08
3  98  8.53371e+07
3  99  8.65845e+07
3  100  9.48029e+07
4  0  6.44656e+07
4  1  6.16124e+07
4  2  4.48041e+07
4  3  3.64722e+07
4  4  2.84217e+07
4  5  4.11494e+07
4  6  3.93022e+07
4  7  4.96987e+07
4  8  5.34153e+07
4  9  4.27061e+07
4  10  4.50254e+07
4  11  3.08535e+07
4  12  2.81758e+07
4  13  3.59676e+07
4  14  4.19454e+07
4  15  3.67024e+07
4  16  3.94031e+07
4  17  3.97723e+07
4  18  5.02672e+07
4  19  3.05135e+07
4  20  3.69347e+07
4  21  3.73435e+07
4  22  4.28338e+07
4  23  4.13206e+07
4  24  3.66241e+07
4  25  3.51108e+07
4  26  3.51828e+07
4  27  4.28077e+07
4  28  3.72693e+07
4  29  3.84328e+07
4  30  2.72959e+07
4  31  3.2476e+07
4  32  2.81733e+07
4  33  2.00181e+07
4  34  1.83353e+07
4  35  1.67459e+07
4  36  0
4  37  0
4  38  0
4  39  0
4  40  0
4  41  0
4  42  0
4  43  0
4  44  0
4  45  8.22477e+07
4  46  7.43162e+07
4  47  1.06684e+08
4  48  1.20338e+08
4  49  1.3224e+08
4  50  1.1501e+08
4  51  7.99437e+07
4  52  1.57603e+08
4  53  1.62129e+08
4  54  1.91247e+08
4  55  2.10224e+08
4  56  2.35083e+08
4  57  2.38424e+08
4  58  2.08112e+08
4  59  2.1129e+08
4  60  2.31068e+08
4  61  1.92143e+08
4  62  1.35116e+08
4  63  1.53075e+08
4  64  1.73402e+08
4  65  1.77517e+08
4  66  1.76621e+08
4  67  1.57877e+08
4  68  1.73003e+08
4  69  1.59695e+08
4  70  1.70744e+08
4  71  1.76822e+08
4  72  1.84793e+08
4  73  1.29518e+08
4  74  1.22482e+08
4  75  1.3829e+08
4  76  1.15543e+08
4  77  1.21267e+08
4  78  1.51135e+08
4  79  1.72584e+08
4  80  1.03755e+08
4  81  1.51911e+08
4  82  1.46862e+08
4  83  1.21225e+08
4  84  1.39888e+08
4  85  1.42745e+08
4  86  1.45616e+08
4  87  1.65173e+08
4  88  1.56758e+08
4  89  3.42521e+08
4  90  5.1233e+08
4  91  2.9355e+08
4  92  1.48718e+08
4  93  1.32488e+08
4  94  9.94972e+07
4  95  1.28307e+08
4  96  9.86235e+07
4  97  8.78645e+07
4  98  8.28112e+07
4  99  9.40458e+07
4  100  8.48528e+07
5  0  7.06776e+07
5  1  4.46473e+07
5  2  4.14547e+07
5  3  3.33655e+07
5  4  3.91673e+07
5  5  5.01182e+07
5  6  5.20803e+07
5  7  4.3454e+07
5  8  4.91982e+07
5  9  4.42636e+07
5  10  3.52081e+07
5  11  4.13027e+07
5  12  4.18856e+07
5  13  3.25001e+07
5  14  1.96912e+07
5  15  3.58589e+07
5  16  3.48128e+07
5  17  5.16169e+07
5  18  4.19898e+07
5  19  3.43899e+07
5  20  3.94354e+07
