row  column  (images_2.edf Cu-K*images_2.edf Ar-K**2.3)
5  63  1.30138e+07
5  64  2.48504e+07
5  65  1.53434e+07
5  66  1.45719e+07
5  67  1.76442e+07
5  68  1.8597e+07
5  69  1.72246e+07
5  70  2.9024e+07
5  71  2.10877e+07
5  72  1.54862e+07
5  73  9.28786e+06
5  74  5.26018e+06
5  75  297677
5  76  8.27384e+06
5  77  9.57045e+06
5  78  1.38343e+07
5  79  9.57782e+06
5  80  8.65968e+06
5  81  1.79564e+07
5  82  1.34858e+07
5  83  8.76577e+06
5  84  2.01297e+07
5  85  4.18366e+06
5  86  1.50295e+07
5  87  1.67462e+07
5  88  1.64756e+07
5  89  1.25138e+07
5  90  2.06117e+07
5  91  1.97291e+07
5  92  1.43633e+07
5  93  5.58821e+06
5  94  5.8636e+06
5  95  1.24281e+07
5  96  7.55307e+06
5  97  1.34087e+07
5  98  5.66109e+06
5  99  4.84257e+06
5  100  1.8274e+06
6  0  3.51783e+06
6  1  0
6  2  229658
6  3  0
6  4  0
6  5  3.48074e+06
6  6  0
6  7  4.51476e+06
6  8  0
6  9  6.14657e+06
6  10  1.19851e+06
6  11  2.06492e+06
6  12  0
6  13  2.20685e+06
6  14  4.23893e+06
6  15  2.29766e+06
6  16  0
6  17  4.24357e+06
6  18  0
6  19  0
6  20  0
6  21  1.47284e+06
6  22  0
6  23  4.09113e+06
6  24  9.53049e+06
6  25  0
6  26  0
6  27  0
6  28  0
6  29  0
6  30  0
6  31  1.79493e+06
6  32  0
6  33  0
6  34  0
6  35  0
6  36  0
6  37  0
6  38  0
6  39  0
6  40  0
6  41  0
6  42  0
6  43  0
6  44  0
6  45  0
6  46  0
6  47  2.66954e+06
6  48  5.99001e+06
6  49  1.19241e+06
6  50  1.18881e+07
6  51  1.13815e+07
6  52  2.34438e+07
6  53  3.0567e+07
6  54  1.66727e+07
6  55  3.04744e+07
6  56  2.61334e+07
6  57  2.98054e+07
6  58  2.59146e+07
6  59  3.54735e+07
